[00:03:02] そういう話になって。うん。
[00:07:07] いやー
[00:10:04] お、で、清水さん北海道の人だけど、うん。
[00:14:14] やっぱ外国人な人ってそうらしいね。
[00:16:47] 高崎さんほんまの、円安の話じゃないですけど、はい。
[00:20:00] 海外の人ってやっぱ不動産屋さん、やっぱ買いに来るとか
[00:23:01] へえ。
[00:25:22] いや、だって
[00:27:35] 僕が外国人なら日本買い占めますわ。
[00:31:43] こんな良い国ないだろって。
[00:33:40] はい。
[00:37:04] もう
[00:41:07] で、今その話でアシュラが作ったなんか漫画とか例えば動画とかを多言語投稿するってボタンがあったらいいなっていう今ふとアイデアが。
[00:49:15] なるほど。
[00:50:09] めっちゃ面白い。
[00:51:67] ああ、だから
[00:52:43] 今対談室に清水さんはその札幌で不動産事業やってて
[00:57:07] へー。
[00:57:47] 外国人がすごい多いって言ってたから
[01:00:23] こととかふらのとか。
[01:01:73] うん。
[01:02:18] へえー。
[01:03:36] のに日本語、日本語の発信はいっぱいいるけど英語の発信、中国語の発信はもう1件とか2件とかしかなくて。もう多分出したら瞬間に1位とか2位になるっていう。
[01:13:31] なるほど。
[01:14:48] そう。
[01:15:70] それやった方がいいんじゃないですかって話して。
[01:18:50] しかも70代でAI使ってるっていうのが他にいないから。
[01:22:36] めっちゃいい。
[01:24:50] 
[01:25:90] ガッポガッポですね。じゃあそろそろ入れますか。
[01:28:44] 入れましょうか。はい。
[01:30:17] はい、じゃあお願いします。
[01:31:39] なんか僕もどうにかベルギーオランダから仕事を取りたいです。
[01:36:18] ベルギーオランダか。ね。良いっすね。
[01:38:29] あ、おはようございます。
[01:39:35] おはようございます。
[01:40:02] おはようございます。
[01:40:48] おはようございます。
[01:41:20] おはようございます。
[01:44:03] 高崎さんが海外からね、凱旋帰国です。
[01:48:00] あはははは
[01:50:20] でもめちゃくちゃ日焼けしてるから海でも行ってきたのかなみたいな感じで。
[01:53:14] はい、あ、でもこの日焼けはなんかもうデフォルトの日本でもしときます。
[01:58:14] あ、そっか。
[01:58:64] ああ。
[02:00:37] なるほど。
[02:01:46] あ、ロサンゼルスから今日も堀さんがね。
[02:04:15] おはようございます。
[02:06:55] いやあ、どうでしたかね。高崎さんもね、本当に海外行ってきてだいぶ日本の、日本を見る目も変わるんですかねこれ。
[02:13:28] なんかでもっすね。なんか日本は本当にオトクって思いました。
[02:19:15] なるほど。
[02:20:41] コスパ最高だぞみたいな。
[02:21:84] コスパ最高。なんか、だって
[02:25:47] 最近日本で飯とか食うと、え、いいんすかって思いますもんね。
[02:30:35] ああ。
[02:30:65] はい。
[02:32:00] このクオリティ、そして接客のめちゃくちゃ素晴らしさ。
[02:35:28] いやあ。
[02:36:25] この、こないだ家族、家族であの日本帰ってきてから焼肉屋行ったんすよ。
[02:41:31] はい。
[02:41:89] で、まあ3人で、まあ6000円ぐらいですげえ安かったんだけど。あの
[02:46:16] やばいっす。
[02:47:65] そんな安いいすか？
[02:48:52] あ、まあ、
[02:49:50] 手も回らなかったしね。
