はい、よろしくお願いします。
[00:01:21] 高崎さん、よろしくお願いします。
[00:01:28] どうも。本日はありがとうございました。
[00:02:08] ぜひぜひでもなんかどんどんどんどん、なんかもう
[00:02:11] あるものを引っ張ってきてもいいし、自分で考えてもいいし、それでどんどんブラッシュアップしていけば言うだけどんどん
[00:02:17] 良くなってくし。で、とにかくやっぱり本当に
[00:02:22] あの、AIを使うものづくりってのはいかに自分の事業にぴったり、超ジャストフィットでフィットフィットしてるかっていうところと、あの、AIと協力することによっていかに今まで自分が作れなかったぐらいのレベルのものが
[00:02:37] 作れるようになるか。この2点が僕はすごく大事だと
[00:02:44] 思ってますんで。で、この2点をね、ちょっとやりながらの方が多分楽しいです。なんか効率とか、成果とか、なんかそういうのを求める感じになっちゃうと、どうしてもなんか
[00:02:52] 再現がないので、あの、切りがなくなってちょっと追い詰められるような感じになってっちゃうのでね。
[00:03:00] ぜひ自分の好きなこととか楽しいこととか情熱あるものっていうのをAI使ってなんか、僕の感覚、その元々情熱持ってるものはAI使うと3倍から4倍になります。能力値が。
[00:03:15] 僕も元々プログラミングと心理学が結構好きで情熱を注いでたんですけど、多分AI使い始めてプログラミングと心理学が3倍ぐらいに能力値が上がったように思ってます。
[00:03:28] で、皆さんも多分何かしらのなんかそういうこだわり情熱なんかありそうだなって、あのチャットとかからも感じるのでぜひ、あの3倍4倍伸ばしていってみてください。ありがとうございました。あ、夜もお待ちしてます。
[00:03:43] ありがとうございました。ということで、じゃあ、今晩ということもと、あとは
[00:03:50] 22日ですかね、次がありますんで、またぜひみんなで実践していけたらと思います。さあ、じゃあ、あやかさん、一番最初写真撮りますか？写真を撮らせてください。
[00:04:02] はい。
[00:04:03] 画面オンできる方はぜひオンにしていただければと思います。
[00:04:08] え、これなんか
[00:04:13] アシラポーズとかあるんでしたっけ？
[00:04:17] 高崎さん。
[00:04:19] 高崎さん。
[00:04:22] あ、高崎さん、あの、あれですね、あの影、影に真っ暗になっちゃって。
[00:04:29] あ、出、出てこれましたね。
[00:04:31] ありがとうございます。
[00:04:34] じゃあ、みんな行きます。
[00:04:35] はい、チーズ。
[00:04:37] はい、ありがとうございます。
[00:04:39] はい、ありがとうございます。
[00:04:40] ありがとうございました。
[00:04:41] はい。
[00:04:43] ありがとうございました。
[00:04:44] ありがとうございました。
