[00:00:00] （背景ノイズ）
[00:34:03] （タイピング音）
[00:55:07] （タイピング音）
[01:05:07] （タイピング音）
[02:00:10] （タイピング音）
[02:30:26] （タイピング音）
[02:56:06] （タイピング音）
[03:02:40] 高崎さん: お。
[03:04:12] 話者A: なってます。
[03:06:17] 話者A: あ、高崎さん、お疲れ様です。
[03:08:33] 話者A: よろしくお願いします。
[03:09:50] 高崎さん: お願いします。
[03:10:48] 話者A: ありがとうございます。
[03:11:34] 高崎さん: はい。
[03:13:22] 話者A: すいません。
[03:14:98] 話者A: お忙しいところ。
[03:16:32] 高崎さん: いえ、大丈夫です。ありがとうございます。
[03:18:41] 話者A: ありがとうございます。早いものでちょっと足音と、足音が、はい、ちょっと第4期事業ということで。
[03:26:40] 高崎さん: はい。
[03:27:14] 話者A: はい、あの、準備進めさせていただきたいなと思ってまして。で、まあ、あの高崎さんの、まあ、あの、暁の修了生っていう観点と、生成AIのバイブコーディングの、はい、もう秋田の中での先駆者という点を我々も大変理解し合わせるので。
[03:45:25] 高崎さん: あー、ありがとうございます。
[03:46:17] 高崎さん: はい。
[03:47:18] 話者A: あの、初日か、ちょっとその、ま、Day 1、Day 2のあの、2日連続のプログラムの中で、ちょっと高崎さんの、えーと、ちょっとパートを入れさせていただきたいなと思ってまして、はい。ちょっとその点でのご相談でございました。
[04:02:18] 高崎さん: はい。
[04:03:20] 話者A: はい。で、重ねてですね、あの、ほぼ同じ内容を、えーと、秋田じゃなくて群馬の方でもちょっと追加でお願いしたいなと思っておりまして。
[04:15:23] 高崎さん: あー、わかりました。
[04:16:62] 話者A: はい。で、あの、一旦ですね、ちょっと秋田の方からちょっと内容ご説明させてもらえたらなと思ってまして、はい。
[04:26:54] 話者A: 画面共有しますね。
[04:28:44] 高崎さん: はい。
[04:29:43] 話者A: はい。
[04:33:38] 高崎さん: これ、あれですね。あ、はいはい、どうぞ。
[04:35:71] 高崎さん: そういえば今、未踏アドバンストに僕出してて。
[04:40:48] 話者A: はい。
[04:41:40] 高崎さん: 一応一次審査を通って今度二次審査。
[04:44:59] 話者A: え、マジっすか？
[04:45:71] 高崎さん: あります。
[04:48:02] 話者A: おめでとうございます。
[04:48:98] 高崎さん: はい。ちょっとゆづきのほうはなんか、書類に不備があって出したら、出した後でしばらくして足りてませんって言われて却下されちゃって。
[04:57:90] 話者A: へー、そう。
[04:59:43] 高崎さん: なんか、トラップがあってなんか未踏アドバンストと普通の未踏だとちょっと微妙に形式が違って。
[05:07:44] 話者A: はいはいはい。
[05:08:44] 高崎さん: で、僕の、アドバンストのほうの形式で出してたらなんか未踏がちょっと違ったっていう。
[05:14:38] 話者A: なるほど。
[05:15:58] 高崎さん: 僕ある。
[05:16:79] 話者A: え、それ、めちゃくちゃもったいないじゃないですか。
[05:18:67] 高崎さん: そう。
[05:19:69] 話者A: へー。
[05:22:45] 高崎さん: でも結構未踏の書類のやつ出すのむずくて。
[05:26:93] 話者A: なんか、Googleフォームって聞いたんですけど。
[05:29:66] 高崎さん: ん？
[05:30:74] 話者A: Googleフォームなんですよね。
[05:31:68] 高崎さん: あ、Googleフォームなんすけど、あの、追加でその、えーと、資料とかをいっぱい結構、あの、PDFとかで別で作ってそれを出さないといけないんすよ。
[05:42:61] 話者A: うーん、なるほど。
[05:45:67] 高崎さん: それが、それがハードです。パッと見はGoogleフォームなんすけど、ん？ってなるといっぱいやらなきゃいけないことめっちゃあったりする。
[05:55:40] 話者A: そうですね。そうなんですね。
[05:58:91] 高崎さん: 自己紹介動画とかもあげないといけなかったりします。
[06:03:77] 話者A: へー、あ、なるほど。結構そういう感じなんすね。
[06:07:41] 高崎さん: そうなんすよ。
[06:08:43] 話者A: えー、ゆづきくん、もったいないっすね。
[06:10:50] 高崎さん: そう。
[06:11:51] 高崎さん: でもね、マジでトラップって感じでした。
[06:15:93] 話者A: そっかー、でもなんか優しくないっすね。そっかー。
[06:21:40] 高崎さん: 結構ね、かなりね、あの、事務的なんすよ。
[06:25:27] 話者A: ああ、なるほど。うーん。
[06:28:49] 高崎さん: まあ、まあ、さておき。まあ、ちょっと次にいきたいというところで。
[06:32:89] 話者A: まあ、応募者多いですからね。
[06:34:60] 高崎さん: はい。
[06:34:91] 話者A: 仕方ないかなと思いますけど。チャレンジしてもらいたいっすね、またね。
[06:38:43] 高崎さん: ですね。
[06:39:56] 話者A: はい。
[06:40:71] 話者A: ありがとうございます。ちょうどお伺いしたいなと思ってたんで、はい。聞いていただいてありがとうございました。
[06:46:27] 高崎さん: でもまだちょっと戦いは続いていますので。
[06:48:68] 話者A: あ、はい。
[06:49:79] 話者A: 応援してます。あの、もし採択されたら絶対教えてください。
[06:54:33] 高崎さん: はい、分かりました。
[06:55:65] 高崎さん: はい。
[06:57:44] 高崎さん: おもろいっすよ。
[06:58:64] 話者A: いや、やばいっすね。
[06:58:96] 高崎さん: ちなみ、あの、結構全然、あの、もう別の感じで出してて。
[07:02:88] 話者A: はいはいはい。あ、全然いいと思います。はい。
[07:05:40] 高崎さん: あの、なんか作んないといけないじゃないですか、あれ結構。
[07:07:73] 話者A: うーん。
[07:08:70] 高崎さん: なのでもう、精神と時の部屋を作りますっていう謎の、感じで出して。
[07:15:24] 話者A: なんかFacebookでたまにおっしゃってましたよね、なんか。
[07:18:41] 高崎さん: あ、多分何回かはつぶやいたと思います。
[07:21:26] 話者A: すっすよね。
[07:22:52] 高崎さん: でも多分、ちょっとできうると思ってて。
[07:25:56] 話者A: うんうんうん。
[07:26:73] 高崎さん: って感じです。
[07:27:66] 話者A: へー、めちゃくちゃ応援してます。暁修了生ってちゃんと書いていただいてますか？
[07:32:41] 高崎さん: え、書くとこなかったっす。
[07:34:39] 話者A: あれ、本当っすか？
[07:34:95] 高崎さん: はい。
[07:35:86] 話者A: あれ。
[07:36:78] 高崎さん: え、なんか、あの、未踏とかに、未踏に採択された人はとか、あったんですけど。
[07:41:51] 話者A: はいはいはい。
[07:44:59] 高崎さん: 暁とかはなかった気がします。
[07:47:49] 話者A: あ、そうっすか。あ、まあ、自由記述なんかな。はい。
[07:51:30] 高崎さん: 結構、そう、あんまりだから有利になる、有利にならず。
[07:56:88] 話者A: うーん。
[07:58:70] 話者A: だって暁要素出せないってことですもんね。
[08:01:21] 高崎さん: あ、そうです。
[08:02:40] 話者A: まあまあ、内容ピボットしてるのであれば、うん、逆にいいかもしれないっすね。で、採択された後に実は足音秋田のやつでしたみたいな。
[08:07:93] 高崎さん: そうですね。
[08:14:48] 高崎さん: 感じです。
[08:15:73] 高崎さん: はい。で、今ちょっとその、Zoomじゃなくて直接いかせてくれっていう交渉したら通ったんで。直接なんか交通費も出るみたいです。
[08:24:81] 話者A: え、あ、そうなんすね。
[08:26:50] 高崎さん: はい。直接東京に出向きます。
[08:28:77] 話者A: え、めっちゃいいじゃないですか。
[08:30:72] 高崎さん: はい。
[08:31:70] 話者A: いや、本当応援してます。ちょっと共有しときますね。周りにも。
[08:33:63] 高崎さん: ありがとうございます。
[08:34:42] 高崎さん: はい。
[08:36:69] 話者A: ありがとうございます。
[08:37:77] 高崎さん: はい。
[08:38:70] 話者A: じゃあ、あの、改めてですけど、えーと、これ今ちょっと本邦初公開の、はい。まだ一切ランディングページ公開してないんで、高崎さんだけ特別に、はい。
[08:47:82] 高崎さん: いいです、ありがとうございます。
[08:49:57] 話者A: はい。お見せしてまして、はい。あの、私のクロードコードでの自作でございます。
[08:54:55] 高崎さん: お、素晴らしい。
[08:56:47] 高崎さん: やってますね。
[08:58:34] 話者A: はい、もうデプロイまで全部わかるようにしましたよ。
[09:00:80] 高崎さん: え。
[09:01:45] 高崎さん: しかもちゃんと、なんか、あの、AIが作った感がうまく消えてるいいページになってる。ちゃんと。
[09:09:59] 話者A: ありがとうございます。
[09:10:48] 高崎さん: ちょっと文字、文字とか行間詰まりやすいんすよね、AIが作ると。
[09:14:59] 話者A: はいはいはいはい。
[09:15:77] 高崎さん: で、何回か、あの、壁打ちしないと綺麗な仕上がりになんないんで。綺麗な仕上がり。あ、でもすごい、すごい綺麗に仕上がってる。いいです。
[09:24:28] 話者A: ありがとうございます。ありがとうございます。
[09:26:80] 話者A: お褒めいただきまして、あの、かなり、はい、土日に勉強しまして、色々と。
[09:31:54] 高崎さん: 素晴らしい。
[09:32:81] 話者A: はい、結構やらせていただいてまして、はい。こんな感じで一応、はい。
[09:40:53] 話者A: こういう流れでいこうかなと。はい、いつもの、はい。
[09:44:66] 話者A: で、ちょっと上から説明させてもらえますね。結構ね、去年のホームページよりね、クオリティ高くなった気がして。
[09:50:39] 高崎さん: あ、そうだと思います。すごい。
[09:52:72] 話者A: そうなんすよ。
[09:53:50] 高崎さん: すごいな。今年の、今年のメンターさんは誰なんですか？
[09:58:65] 話者A: そう、去年こんなんだったんすけど、はい。
[10:00:46] 話者A: えーと、あ、すいません。えーと、そうっすね、ちょっと今年のアップデート説明しておこうかなと思ったんですけど、変わってないです。
[10:06:91] 高崎さん: はい。
[10:08:44] 高崎さん: 安定感があっていいです。
[10:09:90] 話者A: 変わってなくて、えーと、安定のもう足音ファミリーでやらせていただいていて。
[10:18:49] 話者A: ただ、えーと、今回ちょっと大きく変わるのは、えーとですね、山形県庄内エリア大住の、大住の方もOKにしまんす。
[10:29:49] 高崎さん: ほう。
[10:30:57] 話者A: はい。というのも、あの、暁って、ま未踏と違って地域で育ててくっていうコンセプトなんですけど、えーと、山形全体だと結局秋田か山形どっちに行くんだいっていう、まあ、秋田versus山形っていうちょっとややこしい構図ができちゃうので。
[10:48:47] 高崎さん: はいはいはい。
[10:48:75] 話者A: えーと、経済圏が似てる庄内エリアのところに。
[10:52:77] 高崎さん: あー庄内エリアって鶴岡とか。
[10:56:70] 話者A: いや、酒田とかですね。
[10:59:75] 高崎さん: ああ、酒田と、酒田と鶴岡って隣だから酒田も、酒田も鶴岡も。
[11:06:98] 話者A: まあまあ、はい。あの、ポイントとしては大体100キロ圏内なんすよ、会場から。
[11:11:72] 高崎さん: はー。
[11:12:47] 話者A: 酒田が100キロぐらいなんすよ。で、えーと、対面で来てもらわないといけないじゃないですか。なので、えーと、山形のなんか山形大学とかの学生はちょっとごめんなさいっていう感じで、一旦山形県の、えーと、何でしょう。
[11:30:52] 高崎さん: あれ、逆に山形って足音みたいなのあるんでしたっけ？
[11:34:72] 話者A: いや、ないです。今回かだから来年山形イノベーションプログラムを作るかどうかっていうところのトライアルで一旦ちょっとやらせてもらったっていう感じです。だか山形県庄内エリアで一旦ちょっと酒田市っていうところを、はい、ちょっと、あの、1回。
[11:41:89] 高崎さん: あーなるほど。
[11:51:79] 高崎さん: 酒田、酒田のみなんすか？
[11:53:49] 話者A: 酒田のみです。
[11:54:65] 高崎さん: えー。
[11:56:56] 話者A: なんですか、ちょっとこの表現はちょっと確認しますね。はい。
[12:01:43] 高崎さん: なんか庄内エリアだとどうなんだろ。
[12:03:62] 話者A: そうっすよね。だから酒田市って制限入れるとちょっとあれっすかもしんないっすね。
[12:08:79] 高崎さん: なんか逆に、なんかあれ酒田って関係あるんだっけみたいな感じになる。
[12:15:24] 話者A: そうっすよね。だってあれっすもんね、何々町みたいなのもありますもんね。なんか酒田と三加穂の間に。
[12:20:56] 高崎さん: 多分ありそうですね。酒田とか。
[12:24:59] 話者A: そうっすよね。
[12:25:99] 話者A: はい。ただ基本的に庄内エリア在住っていう形で、まあ、はい、やらせてもらえたらなと思ってて、はい。
[12:34:39] 高崎さん: わかりました。
[12:35:63] 話者A: ちょっとね、まあこれあんま言えないんすけど、高見くんもいるんであんま言いづらいんすけど。
[12:41:40] 高崎さん: そうっすよね。
[12:41:71] 話者A: 秋田大学とのバランスがございましてですね。
[12:44:48] 高崎さん: なるほど、なるほど。
[12:45:29] 話者A: はい。あの、秋田大学との折衷案でこういう形です。はい、もうこれ以上は突っ込まないでいただきたいと思ってます。はい。
[12:48:98] 高崎さん: なるほど。
[12:52:95] 話者A: それじゃあお察しいただけたらと思います。
[12:55:51] 高崎さん: こないだなんか駅前にリッシュっていう、なんかできて。
