もちろん、音声ファイルの文字起こしを承ります。

[00:14] （聞き取り不明）
[00:25] （聞き取り不明）
[00:43] （聞き取り不明）
[00:54] （聞き取り不明）
[01:06] （聞き取り不明）
[01:14] （聞き取り不明）
[01:21] （聞き取り不明）
[01:31] （聞き取り不明）
[01:40] （聞き取り不明）
[01:54] 話者A: おはようございます。
[01:56] 話者B: ます。 よろしくお願いします。
[01:58] 話者A: お願いします。
[02:00] 話者A: と
[02:04] 話者A: はい、もうやりました？
[02:06] 話者B: ん？
[02:07] 話者A: Five？ Fiveって、何が、何がFiveですか？
[02:12] 話者B: クロドコード5、5ですね。
[02:15] 話者A: あ、クロドコード5になったんですか。
[02:17] 話者B: の何だっけ？
[02:19] 話者B: うん、なんとかなんとか。ミトスじゃない、ミトスのなんか
[02:24] 話者B: に近いバージョンみたいなのが出ましたね。
[02:27] 話者A: ミトスもったいぶりますね。
[02:30] 話者B: ぶる。
[02:31] 話者B: あ、じゃあそっかスタートしちゃいます。それもちょっと軽く前半触れましょうか。
[02:35] 話者A: はい。
[02:36] 話者B: ちょっと紹介します。じゃあお願いします。
[03:15] 話者B: おはようございます。
[03:17] 話者A: ます。
[03:19] 話者B: 2026年6月10日水曜日朝6時半になりましたので、GPTs研究会朝ライブ始めていきたいと思います。え、毎週水曜は高崎さんゲストでお迎えしてですね、AIの万能薬の話をお伝えしてますが、今日あの、Codex App Serverの話とかですね、お伝えしたいなと思っておりますが、あの、クロドの5のね、え、ファブルでしたっけね。え、なんか新バージョンも出てたので、その話もちょっと触れながら行けたらなと思ってます。今日もよろしくお願いいたします。え、それでは簡単に自己紹介から始めていきたいと思います。え、散歩よしAI競争コンサルタントの田中宏幸です。え、ひろくんと呼んでください。今日もよろしくお願いいたします。
[03:52] 話者A: よろしくお願いします。
[03:54] 話者A: お願いします。
[03:56] 話者B: 僕は、はい、じゃあ僕も簡単にAIと企業が学べる誰でも変えるイフ塾の塾とやってます。高崎翔太です。よろしくお願いします。
[04:05] 話者B: よろしくお願いします。
[04:07] 話者A: えっと、なんか何やら寝てる間に5。
[04:12] 話者B: あの、クロドファブル5みたいなのが出てて、あの、バージョンアップ、最新版にしてからモデルの切り替えしたら、えっと5がいましね。
[04:22] 話者A: あ、まじ？あ、ミトスどこ行った？って感じなんすけど。
[04:26] 話者B: ミトス。ミトスのなんか
[04:28] 話者A: 神話のまま語り継がれて消えていったんですか？
[04:33] 話者B: なんか
[04:35] 話者B: ミトスクラス、ミトスクラスモデルですっていうなんか謎のモデルをはい、ちょっとえっと、ちょっと画面共有しながら紹介しますね。
[04:45] 話者A: ミトスは本当に神話レベルだったのか。
[04:48] 話者B: はい。
[04:49] 話者A: え、ファブル、ファブルってなんすか？コロシアとか
[04:53] 話者B: 同じ名前の漫画ありましたけど。
[04:56] 話者B: クロドファブル、あの漫画しか出てこないすよね。
[04:58] 話者A: ですよね。
[05:00] 話者B: はい。
[05:01] 話者B: そう。
[05:02] 話者B: まあだから本当ね、あの
[05:04] 話者A: 5の出し方おしゃれだけど。
[05:08] 話者A: いらんなあ。なんだこの
[05:12] 話者A: 5、5を最大限にオシャレにしてますね。
[05:16] 話者B: ね。
[05:17] 話者B: そう、でも色々、まあベンチマークとかも出てるんですけど、ま、かなり
[05:21] 話者A: へー
[05:22] 話者B: え、性能高いと。これなんだろうな。価格、価格というか、あ、
[05:27] 話者A: へー
[05:28] 話者B: 何かがね、ちょっと特殊な。今はもう使えるけど
[05:31] 話者A: はい。
[05:32] 話者B: なんか
[05:33] 話者B: あそこに何かページがあるから。
[05:34] 話者A: あれ？
[05:35] 話者B: ちょっと僕もさっき、さっきね、試してやってみたら、まあ、あ、動いてたんで、普通に動いてたんですけど。
[05:39] 話者A: あー。
[05:41] 話者A: あ、やっぱりミトス5はあれなんすね。あの
[05:45] 話者A: 信頼されるパートナーに
[05:49] 話者A: 限定って書いてありますね。
[05:51] 話者B: そうそうそう。
[05:52] 話者B: 俺ら信頼してもらってないってことですかね。
[05:56] 話者A: そうじゃない。
[05:57] 話者A: こんなに、こんなに人知れず日本で広めてんのに。
[06:05] 話者B: なんかポケモン、ポケモンの例が出てるな、これ。
[06:08] 話者A: ん？
[06:09] 話者B: これ、ポケモン。
[06:11] 話者B: クロド5でポケモンやらせてたのかな？
[06:14] 話者A: あれ、なんか多分ひろくんが固まってます、今。
[06:18] 話者B: 固まってる？
[06:19] 話者A: あれ？
[06:20] 話者B: あ、
[06:21] 話者B: 違う、画面が
[06:22] 話者A: あー、切り替わってなかったですね。
[06:25] 話者B: えーっと、画面共有し直します。
[06:28] 話者B: タブで開いちゃったからな。
[06:30] 話者A: ポケモン。
[06:33] 話者A: ポケモン、ファボ。あ、しかもあれだ。えっと、なんかゲームボーイアドバンスぐらいになってる。
[06:41] 話者A: え？
[06:42] 話者B: 何が？
[06:44] 話者A: ん？
[06:45] 話者B: 今なんか途切れちゃったんで何が
[06:47] 話者A: いや、ゲームボーイアドバンスぐらいのポケモンが出てるなと思って。DSとか。
[06:52] 話者B: あー、ね。
[06:54] 話者B: うん。
[06:55] 話者B: 資格情報だけでゲームクリアさせたっていう
[06:58] 話者A: あ、これ、あ、操作の方か。作ったんじゃないんだ。
[07:02] 話者B: 操作操作。作ったんじゃないくて。
[07:04] 話者A: すご。
[07:05] 話者A: え、
[07:06] 話者B: すごいすよね。
[07:07] 話者A: これでなんすか？え、ポケモンマスターまでなれましたってことですか？
[07:12] 話者B: ってことですかね。クリアしたってことですね。
[07:13] 話者A: クリアしたってことですか。すごくないすか。超賢い。
[07:17] 話者A: すごいな。
[07:21] 話者A: あー。
[07:24] 話者A: へー。
[07:29] 話者B: ちょっとこれは
[07:31] 話者B: 後でじっくりと触りたいなと思いますから。え、
[07:34] 話者A: うんうんうん。
[07:34] 話者B: ま、かなりだから、え、今かなり複雑なことをやらするのにかなり、うん、いいんじゃないですかね。
[07:41] 話者B: フェイブルって呼ぶんですかね？フェイブル5なんですかね？
[07:44] 話者A: はい。
[07:45] 話者B: うん。
[07:47] 話者A: 本当にミトス級モデル意味わかんない。
[07:51] 話者A: ミトスを
[07:52] 話者B: ねえ。
[07:54] 話者A: ミトスを本当に神格化したいんですかね。
[07:59] 話者A: 散々
[08:00] 話者B: 引っ張ってんのにね。
[08:00] 話者A: 引っ張、なんかマーケティングじゃねえかって感じしますけどね。
[08:04] 話者B: 確かに。
[08:07] 話者B: え、
[08:08] 話者B: これら辺もね、ちょっと解説記事があるんで、ま、皆さんも是非
[08:12] 話者B: はい、試していただいて
[08:14] 話者B: まあ、僕の多分Xは
[08:17] 話者B: え、
[08:18] 話者B: 仕事の進め方が変わった、思考パートナーとして使う
[08:22] 話者B: そう。
[08:23] 話者B: うん。ま、でも使い方的には多分変わんないのかなと思うんですけど、うん。
[08:28] 話者A: どうなんだろうな。
[08:31] 話者B: うん。
[08:32] 話者B: どこまで変わるんすかね？
[08:34] 話者A: ミトス正直もう結構
[08:38] 話者A: 構築のところで割と、なんか元のAIのクオリティを割とどうにかできる感じになってきてるかなって僕は思ってて。
[08:49] 話者B: はいはいはい。
[08:50] 話者A: だからなんかあんまり
[08:53] 話者A: 構築の手間がちょっと減るかなぐらいの感覚なんですよね。
[08:58] 話者B: あ、なるほど。
[09:00] 話者B: 結構長丁場で迷子にならないっていうのが
[09:03] 話者A: はー。
[09:03] 話者B: まさおさん
[09:05] 話者B: ですね。はい。
[09:06] 話者B: だから、やっぱ
[09:08] 話者B: なんだろう、ゴール決めたタスクとか
[09:10] 話者A: うん。
[09:11] 話者B: え、ね、ゲーム画面見ただけでさっきみたいに攻略する、デッキ構築ゲームで、え、最終局面3倍スクショからアプリ再現、あ、なるほど。
[09:21] 話者B: やっぱだから今流行りのゴールとか、え、ウルトラコード、ダイナミックワークフローとか、あの辺で動かすと、やっぱ
[09:28] 話者A: うん。
[09:30] 話者B: いいんじゃないですかね。もうでっかいゴール決めてそこまで突き進めていう。
[09:33] 話者A: 結構じゃあ。簡単に言うと雑指示ぶん投げの精度が上がったってことですよね、きっと。
[09:43] 話者B: うん。そう。
[09:44] 話者A: うん。
[09:45] 話者B: だからそこまで、そのゴールさえ決めとけば、そこにたどり着くまで思考錯誤しまくって到達できる率が賢さと粘り強さとあと失敗しにくさみたいな。
[09:53] 話者A: うん。
