[00:01] お世話になります。足音プログラム事務局の高橋と申します。
[00:05] 小林正宗です。
[00:07] よろしくお願いします。高崎さん、本日3回目よろしくお願いします。
[00:10] よろしくお願いします。
[00:14] でですね、えっと今日ですね、お時間頂いたのはあのエントリーフォームを拝見しまして、で、えっと、ぜひ話を深く知りたいと聞いてみたいと思った方にですね、30分ほどお時間頂きまして、で、えっと、頂いた応募頂いた内容を深く知るとという風なところをですね、事務局側の目的とさせて頂いて、ちょっとお時間を設定しておるというところになってます。
[00:36] はい。
[00:37] で、流れとしましては、冒頭5分間ですね、プレゼンテーションを、えっと、頂いて、で、その後25分で僕の方からあの質問させて頂くという形になります。
[00:48] はい。
[00:49] で、えっと、こちらの内容なんですけど、録画させて頂きたいんですけど、よろしいでしょうか。
[00:53] 大丈夫です。
[00:54] はい、ありがとうございます。
[00:58] はい。ではですね、えっと、早速ではあるんですけれども、えっと、小林さんの方から、えっと、5分間プレゼンテーションお願いしてもよろしいでしょうか。
[01:08] ちょっと画面共有が、はい。
[01:10] ちょっとMacBook弱くて。
[01:13] はい。
[01:16] んあ、なんか。
[01:20] えっと、ちょっと待ってね。
[01:21] 共有のあ、ちょっと待って。
[01:28] これの
[01:30] これのこれの
[01:35] これのこれ
[01:38] で、これは邪魔。
[01:42] ちょっと寄せる。こんな感じかな？
[01:44] はい。
[01:46] ありがとうございます。
[01:47] はい、画面も見ております。
[01:48] 始めさせてもらいます。
[01:50] はい。
[01:51] ええ、それでは、秋田クラーク高等学院1年生の、あ、ITプログラミングコース1年生の小林正宗です。
[02:00] と、神経多様性時の才能を覚醒させるえ、やる気に依存しない人材教育課アプリ、Genesisの発表をします。よろしくお願いします。
[02:10] お願いします。
[02:12] と、僕は小学4年生から、4年生の1年間、中学2年生から卒業までの3年間不登校でした。
[02:21] その中で不登、え、フリースクールや通級学級のコミュニティの中で様々な発達特性と出会ってきました。
[02:28] 1人1人の強みを伸ばし困難をカバーする、そんな子たちを何度も見てきました。
[02:34] その中で同じような境遇の子がAIと企業を、企業が学べるオンライン教室、Ifjukuに出会い、スタッフとして活動に参加。
[02:43] その活動では複数の賞を採択を頂き、地域、全国から支援を受けています。
