[00:00:09] ふう。
[00:00:55] あれ。
[00:01:04] あ、おはようございます。
[00:01:09] かずおさん、お願いします。
[00:01:12] ます。
[00:01:13] よろしくお願いします。
[00:01:16] よいしょ。
[00:01:19] めちゃくちゃ寒くないです。
[00:01:21] いや、めっちゃ寒いですすよ。
[00:01:25] こっちやばいです。
[00:01:29] やばいですよね、だって。
[00:01:31] あ、来た。
[00:01:36] うう。
[00:01:37] 雪も降ってます？
[00:01:42] 雪も降っ
[00:01:44] 雪というかもう。
[00:01:47] どうなってる？
[00:01:49] あ、あ、サブサブサブ。
[00:02:00] ああ。
[00:02:01] よいしょ。
[00:02:03] だいぶ。
[00:02:09] 大寒波って感じっす。
[00:02:11] 大寒波。
[00:02:12] はい。
[00:02:15] 今日は匠くんも来るのかな。
[00:02:18] あ、どうだろう。
[00:02:20] ちょっと分かんないですね。
[00:02:23] なんか来ない気がしますね、ちょっと。
[00:02:26] うん。
[00:02:27] なんか。
[00:02:31] プロトコルにはまってるそうな感じなんだ。
[00:02:33] はい。
[00:02:34] 最近あの。
[00:02:42] みんなに200ドルプランになって。
[00:02:47] を200ドルプランにさせられ。
[00:02:53] みんなに解放してるんで。
[00:02:57] あれ、そりゃはまっちゃうかもしれない。
[00:02:58] はい。
[00:03:03] 今日は、まあ、そんなマニアックな話はちょっと。
[00:03:06] はい。
[00:03:06] 結構なんか。
[00:03:10] やっぱ画像生成とかどうするみたいなところ、結構僕はちょっと詰まづいてるんですよね、今。
[00:03:17] ああ。
[00:03:18] じゃ、その辺の話を。
[00:03:20] はい。
[00:03:21] じゃあ中心にまた展開してければと思います。
[00:03:24] よろしくお願いします。
[00:03:26] はい。
[00:03:27] ます。
[00:03:37] お願いします。
[00:03:40] ます。
[00:03:41] 2026年1月21日、朝6時半なりましたので、GPT研究会をとりあえず始めていきたいと思います。
[00:03:48] え、毎週水曜日、高崎さんゲストをお迎えしてですね、え、AIのマニアックな話をしてことで、今日は、え、クラウドコードとかノートブックLMとか、え、画像生成とかですね、実戦で今、え、使ってる最新の情報をお届けしていきたいと思いますので、今日もよろしくお願いいたします。
[00:04:03] よろしくお願いします。
[00:04:03] え、まずは、まず、自己紹介から始めていきたいと思います。
[00:04:06] え、50kgダイエットした新社長の田中浩之です。
[00:04:11] え、ひろくんて呼んでください。
[00:04:14] 僕は何か、価値と子育ての隙間でAI競争コンサルタントをしております。
[00:04:19] え、もっぱらこの社長無人化計画ってのやってきたんですけども、え、最近になり、え、クラウドコードが本当にAI2Aができるようになってから、え、本当に、え、なんか社長無人化計画がいよいよ実装段階に来たかなと思ってます。
[00:04:34] え、今日もよろしくお願いいたします。
[00:04:36] はい、よろしくお願いします。
[00:04:38] え、じゃあ僕も。
[00:04:39] はい、じゃあ僕も自己紹介ということで、AIと、企業が学べるイフ塾の塾頭やっております、高崎翔太です。
[00:04:51] よろしくお願いしまあす。
[00:04:53] ます。
[00:04:54] うっす。
