[00:00] ああ。
[00:00] あ。
[00:02] 話者A: えっとね、ブレイクアウトルームってところやっていただけたら、そっから移動できるんで。
[00:08] 話者B: ああ、なるほど。
[00:10] 話者A: えっと。
[00:13] 話者A: あ。
[00:16] 話者A: あ、どうも。
[00:17] 話者B: よろしくお願いします。
[00:18] 話者A: よろしくお願いします。
[00:19] 話者A: よろしくお願いします。
[00:21] 話者B: あ、早速ちょっと聞いていいですか？
[00:23] 話者A: あ、どうぞどうぞ。
[00:24] 話者B: あの、クラウドコードなんですけども、デスクトップ版なんですけども、何回やっても今混雑してますっていうのが出てて。
[00:34] 話者B: 返事が来なかったんですね。
[00:35] 話者A: なるほど。
[00:36] 話者B: で、アンチグラビティの方の
[00:40] 話者B: あの
[00:42] 話者B: 方でも同じように打ったら、なんかアップデートが必要ですみたいな。
[00:47] 話者A: うん。
[00:48] 話者B: ってあったんですけどね。
[00:51] 話者B: 一応、あの、
[00:54] 話者B: 3000いくらのやつに入ってるので。
[00:56] 話者A: はい。
[00:57] 話者B: はい、それは、あの、1万円とかの方にしなさいって意味なのか、どうかっちちょっと確認したいんですけど。
[01:05] 話者A: ああ、えっと、多分今、えっと、全体的にちょっとクロードとかAIが結構混雑してるっぽくて、ま、僕もさっきちょっとエラーとか出てたりはちょっとしました。
[01:16] 話者A: で、そういうのはあるのと、ま、3000円とかだと確かにそしてさらにこういう混雑した時とかは、えっと、優先順位は下げられやすいと思います。
[01:29] 話者A: なので、結構常にああ、ぶんぶんクロードコード動かすぞってことであれば、やっぱりマックスプランにはなった方がいいかなとは思いますけれども、ってとこですね。
[01:40] 話者B: ま、これはちょっと今混雑してるっての出てるから、ま、そういう対応と捉えて、また別の時にやったら、また違うかもしれない。
[01:49] 話者A: だと思います。
[01:50] 話者B: はい、分かりました。ありがとうございます。
[01:52] 話者A: ま、ちょっとあとはもしかしたら、あの、クロードコード自体をちょっとアプリをアップデートするとか、そういうのが必要かもしれないですね。
[02:00] 話者B: アプリをアップデート。で、あの、それは、えっと、料金プランを上げるという意味でしょうか？
[02:07] 話者A: あ、えっと、もう一回なんかアプリってなんかちょっと更新とかされるとアップデートとかされたりするので、なんかそのもう一回まあインストール、ダウンロードし直すとか、そんなことをしてみたりすると直ったりする可能性はあります。
[02:22] 話者B: はい。ま、再起動とか。
[02:24] 話者A: うん、そうですね。
[02:25] 話者B: はい、ありがとうございました。
[02:26] 話者B: あ、すいません、先に。
[02:27] 話者A: あ、いやいやいや。
[02:31] 話者A: っていう感じですね。ま、でもできればその是非クロードコードを使う場合は、あの、みんなが好きじゃない黒い画面でターミナルから呼び出すってのを私はおすすめいたします。
[02:45] 話者B: アンチグラビティ。
[02:46] 話者A: あ、そうですね。アンチ、あ、アンチグラビティで普段、えっと、ターミナル、下の部分のところって開いたりとかしてますかね？
[02:53] 話者B: あ、してます。
[02:54] 話者A: あ、そう。
[02:55] 話者A: そう、おそらくそっちで、そっちでやることに慣れていった方が、あの、すごく自由にいろんなものが作っていけるかなとは思います。
[03:05] 話者A: 実は。
[03:05] 話者B: ありがとうございます。
[03:08] 話者A: どうしてもちょっとそのアプリとかってなった時には、不具合とか、あとちょっとアップデートとかそういうのが遅くなりがちです、アプリの方は。
[03:19] 話者B: アプリっていうのはデスクトップ版っていうことですよね。
[03:22] 話者A: そうですそうですそうです。
[03:24] 話者B: あ、そうなんですか。
[03:25] 話者A: あの、えっと、皆さんもAIを使って開発をして見ると分かるんですけれども、あの、いろんな人に、いろんな人が、あの、作ったものをいろんな人が使えるようにするのが一番大変なんですよ。
[03:44] 話者A: あの、開発って。
[03:46] 話者A: で、えっと、その黒い、あのターミナルの画面で、あの、いろいろ動かせるようになってると、なんで便利なのかって言うと、どんなパソコンでも動くからなんですよ。
[04:01] 話者B: あ！そっか。
[04:03] 話者A: あれ、あそこの黒い画面はなんで黒いのかって言ったら、パソコンの原始の部分だからなんですよ。一番最初の部分なんですよ、あそこがパソコンの。
[04:14] 話者A: で、あそこにいろいろ入力していくことによっていろんなものができていくんですね。
[04:20] 話者A: だからあそこで動くようになっていると、えっと、どんな状態でもアプリが動く。だからその、えっと、アプリが今動かないってなっていても、もしかしたら、えっと、そのターミナル経由だったら動きやすいってのはあります。
[04:37] 話者B: ふんふん。
[04:40] 話者A: で、ずっと安定してるからターミナル経由を僕はおすすめします。し、あと、えっと、機能の制限とかもないです。
[04:52] 話者B: あ、はい、そっちです。
[04:54] 話者A: はい。
[04:55] 話者B: そしたらなんかよく、私もあのデスクトップ版使ってるんですけど。
[05:00] 話者B: ターミナルを呼び出してターミナルにやらせてくださいってあの指示が来るので。
[05:06] 話者B: ちっちゃい画面をなんかこう
[05:08] 話者A: あ、はいはい。あのコマンド打たなきゃいけない場面がありますよね。
[05:11] 話者B: そうですそうです。
[05:11] 話者B: それは、やっぱ片手落ちな感じなんですか？
[05:16] 話者A: ああ、えっとですね、えっと、それもターミナル開きながら、えっと、やるんですけど、そうすると、あー画面共有が今設定でできなくなってる。えっとですね、ターミナル内で、あの、クロードコードを起動してる状態があるじゃないですか。その時にターミナルにコマンドを打ってくださいって言われた時はターミナルを開いてターミナルにコマンド打たなきゃいけないじゃないですか。
[05:41] 話者B: そうです、そうです。
[05:42] 話者A: なんですけど、そのターミナルのコマンドの最初にビック、半角のビックリマーク付けてください。
[05:49] 話者A: クロードコード内でターミナルのコマンド打てます。
[05:54] 話者B: ん？
[05:55] 話者B: びっくりマーク。
[05:56] 話者A: こういうやつ。
[05:57] 話者B: びっくりマークを
[05:59] 話者A: あの、そう、本当は画面共有で見せたいんですけど、ちょっと口頭で申し訳ないんですけど、あのコマンドがばーっと多分出ると思うんですけど、それの先頭にびっくりマークつけるだけで、そのいちいちターミナル開かないでその場で打てます。
[06:15] 話者B: なるほど。
[06:15] 話者A: はい。
[06:16] 話者B: いつも入力するところにびっくりマーク入れてやればいいってことですね。
[06:19] 話者A: びっくりマークをその言われたコマンドをコピーするだけ。
[06:22] 話者B: なるほど。じゃ、そしたらその今の話だとデスクトップ型でもいいんですけど。
[06:28] 話者B: もしその、あの、結構私大企業さんとか、コープ関係だと必ず何らかのタイミングで繋がると思ってるんです。
[06:36] 話者B: が、その場合にはもう今ちょっとアンチグラビティとの連携をやめちゃってるんですけど。
[06:41] 話者A: はい。
[06:42] 話者B: アンチグラビティで、もう1回あの連携し直して、
[06:47] 話者B: AIのその秘書の、エージェントの、ま、ひろくんももらっていただいてるのをこう訓練した方が
[06:54] 話者A: あ、ま、連携し直してというか、今ね、もうそのやってるのはクロードコードのデスクトップアプリですか？
[07:00] 話者B: そうです、そうです。
[07:01] 話者A: あ、だったら、えっと、どっかにそのクロードコードのデスクトップアプリが作業してるフォルダーがあるはずなんですよ。
[07:10] 話者B: うん、一応、あの、オブシディアン連携はさせてやって。
[07:13] 話者A: いいのかな。じゃあその、えっと、フォルダーを、えっと、普通にアンチグラビティとかで開いて、ターミナル呼び出してってやれ、やれば、普通に同じように継続してできますよ。
[07:26] 話者B: そしたらじゃあ、あの、今の話をじゃあそこをまとめるとデスクトップでやってたとしてもちゃんと、
[07:35] 話者A: あ、そうですね。
[07:36] 話者B: ターミナル手段からやっていたら、いずれかのタイミングでその、ま、大企業にそれなんかうちの会社の物語も作りたいからおっさんそれ教えてってみたいに言われた時に私がため込んでたやつをきゅっと
[07:48] 話者A: あ、できますできます。あ、で、それは別にアプリのままでも、アプリでやっててもターミナルでやっててもそれは一緒です。
[07:55] 話者A: あの、別にアプリでやっててもターミナルでやってても、やってることは一緒なんで。作業してるちょっと、あの、司令塔が違うだけで。アプリなのかターミナルから呼び出してるクロードコードなのかって違いなだけです。
[08:08] 話者B: わかりました。
[08:09] 話者A: そう、一緒なんですよ。
[08:11] 話者B: 残り1分40秒になったので、あの、もうちょっと黙りますね。
[08:15] 話者B: すいません。
[08:16] 話者A: 喋ってない。
[08:17] 話者A: いや、言われたらなんか何でも。
[08:22] 話者A: は、はい、どうぞどうぞ。
[08:23] 話者C: あの、前回ですね、あの、高崎さんの方に、あの、データベースをファイアベース使った方がいいよって言ってくれて、あの、ちょっと進めてたんですけど、その前が、僕そのチャットボットのナレッジ参照を、かっちりギットハブの方をナレッジ参照してしまってたんですけども。
[08:41] 話者C: 運用としては、ギットハブの方は保管庫みたいな、えっと、バックアップとして置いといて、ファイアベースの方をナレッジ参照ってする形の方が本来はいいもの。
[08:54] 話者A: あ、えっとですね、ギットハブのままだと、えっと、そういったデータベースを引っ張ったり、うんぬんての動的処理って言うんですけど、その動的処理ができないんですよ。
[09:05] 話者C: ふんふんふんふん。
[09:06] 話者A: で、もう一手間挟んでギットハブに上げたものをバーセルでデプロイするっていう作業があります。
[09:12] 話者C: あ、一応ね、あの今、あの、クラ、クラウドランで、あの、なんかこう、あの上げると、え、あ、そっか、あ、そっか、あ、ごめんなさい、それはちょっと違う別件のやつですね。あ、そうですね。バーセルの方ですかね。
[09:25] 話者C: なんかあの、別のやつではクラウドランに
[09:28] 話者C: えっと、何かを上げるとクラウドランの方が、ま、自動で、え、何やったかな、デプロイされて、あ、ちゃうわ、あ、ごめんなさい。
[09:36] 話者C: あ、ごめんなさい。
[09:36] 話者A: ごめんなさい。20秒ないです。もうもしよかったらFacebookとかで友達申請しといてくれれば答えます。
[09:42] 話者C: すいません。
[09:43] 話者A: 皆さん、ありがとうございます。
[09:44] 話者A: 色々よかったら高崎正太でFacebook検索すればいますんで送ってください。
[09:48] 話者C: ありがとうございます。
[09:49] 話者A: 申し訳ない。
[09:50] 話者B: ありがとうございます。
[09:51] 話者A: はい。
[09:52] 話者C: ありがとうございます。
[09:53] 話者A: あ、でもっていうとちょっと時間が余ったのか。
[09:56] (笑)
[09:58] 話者C: あ、バーセル。
[09:59] 話者A: バーセルがいいです。
[10:00] 話者C: ちょっと調べてみます。
[10:02] 話者A: あの、AIに聞いてください。あの、バーセルって言われた、バーセルで接続しろって言われたんだけどどうするって。
[10:09] 話者C: わかりました。はい。
[10:10] 話者C: ありがとうございます。
[10:11] 話者A: はい、どうも。
[10:13] 話者A: かな。
[10:16] Recording in progress.
