[01:21] こんにちは。
[01:22] あ、おはようございます。
[01:23] おはようございます。
[01:24] お疲れ様でした。
[01:25] 今日もお願いします。
[01:26] お願いします。
[01:28] よいしょ。
[01:30] 1週間でだいぶ、かなりバージョンアップした感じですね。
[01:33] いや、結構今回はもうアプリをまだ時間経ってませんね。
[01:41] アプリをダウンロードして、あの、あ、カメラちょ、アプリをダウンロードすると、なんだっけ？
[01:54] コーデックスが、あ、アプリをダウンロードするとなんか、えっと、インストーラー、なんか、阿修羅のハブアプリみたいな感じにしたんで。
[02:09] おお、なるほど。
[02:10] アプリが立ち上がってなんか、なんだ、カメラが。こっちだと微妙なのか。
[02:18] MacBookの方が綺麗。
[02:22] ほう。
[02:23] で、よいしょ。
[02:27] で、そのハブアプリみたいなのが立ち上がってそこからポチポチ押すと阿修羅がダウンロードできて、ダウンロードが完了して起動ボタン押すと、今度はコーデックスがあるかを探しに行って、あったらコーデックスを立ち上げてコーデックスで自動でそのフォルダを開くまで行く。
[02:57] すごい。じゃあもう誰でも簡単にマジでできますね多分。
[03:00] それ開くをやるあのUIも同時に立ち上がります。
[03:04] うんうんうんうん。
[03:05] なのでUIが立ち上がってそれで入力してLPとかを作って、同時にコーデックスでフォルダも開いてるのも立ち上がってるんで、
[03:17] うんうんうんうん。
[03:18] あの、LPをUIの方で作って出てきたやつを見て、あ、もっとこういうLPにしてほしいっていうのを、えっと、フォルダの方も開いてるんで、そっちに言えば修正も同時にできます。
[03:33] すごい。じゃあ、あ、やばい、時間なのでじゃあスタートしてから。
[03:36] というのを見せながらちょっとできればと。
[03:39] あ、はい。よろしくお願いします。
[03:41] はい。じゃあ、スタートします。
[03:43] はい。
[03:48] はい。
[04:20] ありがとうございます。
[04:21] おはようございます。
[04:23] 2026年8月26日水曜日朝6時半になりましたので、GPT's研究会ライブ始めていきたいと思います。え、毎週水曜日に高崎さんとゲストにお迎えしまして、AIのマニアックな話をしておりますが、今日は、あの、阿修羅の秘奥義のね、え、めちゃくちゃ大幅アップデートだったりとか、え、インストールが簡単にできるですとか、え、かなり大きな変化があったということなんで、その最新アップデート情報を中心にお届けしていきたいなと思っております。
[04:46] え、今日もよろしくお願いいたします。
[04:48] よろしくお願いします。
[04:49] で、自己紹介から始めていきたいと思います。
[04:51] え、三方よしAI共創コンサルタントの田中博之です。え、ひろ君と呼んでください。
[04:55] え、家事や子育ての隙間でAIコンサルしてまして、社長も人家計画で分身のAIを育て、え、AIにどんどん仕事を委ねて人間はワクワク夢中に生きるということを、え、日々実践しながら皆さんにもお伝えしています。
[05:06] 今日もよろしくお願いします。
[05:08] よろしくお願いします。
[05:10] よろしくお願いします。
[05:11] はい。
[05:11] え、僕はAIと企業が学べる、誰でも通えるイフジ塾やっております。の塾長やっております高崎翔太です。よろしくお願いします。え、最近は結構だんだん自動化の規模がすごく僕も、僕はでかくなってきまして、えっと、なのでひたすらAIに仕事を任せて、自分は自転車を漕いでエクササイズそんな生活を送っております。
[05:38] 昨日も秋ヶ瀬、え、牧ヶ谷渓谷っていうところに自転車で行ってきました。
[05:44] はい。
[05:45] え、もうなんかチャリだったら色んなこの、ね、小道というかどこでも入れるしいけるから、え、ね、車だとなかなか行けないところも細かく行ける感じ、そうですね。
[05:56] あ、そうですね。もう本当にササササってって、あらゆる小道、脇道に入って行きます。僕は。
[06:05] で、休憩も自由にできるし、ああ、逆にいいかもしれないですね。
[06:10] 昨日とか、昨日とかもなのでその自転車を漕ぎながら今からお話しするその阿修羅の仕上げみたいなのをずっとやってましたね。
[06:21] あ、でもいいですね。外でやって自然も感じながら、健康も整えながら、え、それでいてちゃんと仕事が、はい、あの、進むという。
[06:31] 素晴らしい。
[06:31] ちょっと全体的に、あの、マイナスイオンも感じられるんじゃないかなと。
[06:35] うんうんうんうん。
[06:38] いいですね。
[06:39] ちょ、ちょっとサクサクと。
[06:42] 早速まずですね、えっと、トップ、あ、えっと、えっと、ちょっと待ってくださいね。
[06:47] え、今で。
[06:48] おはようございます。阿修羅フレット、ありがとうございますっていうことで、鍋さん、今日は結構面白い話になると思いますんで。
