[00:00:00] (無音)
[00:00:32] (着信音)
[00:00:35] (着信音)
[00:00:39] 話者A: あ、おはようございます。
[00:00:42] 話者B: おはようございます。
[00:00:43] 話者A: どうも、高崎と申します。
[00:00:45] 話者B: 三浦です。よろしくお願いします。
[00:00:48] 話者A: はい、よろしくお願いします。えっと、あ、少々お待ちくださいね。
[00:00:52] 話者B: はい。
[00:00:52] 話者A: よいしょ。パソコンがちょっと、えっと。よいしょ。
[00:01:07] 話者A: はい。じゃ、よろしくお願いします。
[00:01:09] 話者B: よろしくお願いします。
[00:01:11] 話者A: えーっと。 今回、あ、この度お問い合わせいただいてありがとうございますというところなんです。なんかどなたかからお聞きになってっていう感じですか？
[00:01:24] 話者B: プロコケ アラボーさんを利用されて。
[00:01:27] 話者A: はいはいはい。
[00:01:28] 話者B: 塾を今、あのー、教室に通ってプログラミングのレッスン受けてるんですけど。あの、自閉症がある小学校5年生の男児なんですけど。
[00:01:42] 話者A: はい。
[00:01:43] 話者B: ちょっと教室に行くこと自体難しくなってしまって、それはあの。えっと。ちょっと、あの、いろんな刺激に。あの、すごく敏感でそれに耐えられないっていう感じで。
[00:02:02] 話者A: あ、うるさかったらちょっと嫌だなとかそういうのあったりしますかね？
[00:02:05] 話者B: あ、そうですね。そこの教室は、あの、プログラミングの他に同じ教室内で。あの、国語のレッスンとかもしてて。隣の部屋とかで。あの、外国人の先生が英語のレッスンとかしてて。
[00:02:23] 話者A: ああ、なるほど。
[00:02:24] 話者B: 特にその外国人の先生の声があっていうのと。あと、あの、いろんなレッスンの子がごった入りしてるので。あの、その時こう人とぶつかってしまった。ちょっと、そういうちょっとしたことで。あの、ちょっと今通うことが。すごく、なんか、本人にとっては辛いみたいで。
[00:02:49] 話者A: まあ、なんか、そうですね。なんか聞くと、なんかその教室の設計どうなんだっていう感じがしますけどね。
[00:02:54] 話者B: そうですね。同じ教室内で別のことをやってたりも。
[00:03:00] 話者A: はあ、はあ、はあ。
[00:03:01] 話者B: いろんなことやってる。
