[00:00] （車の走行音）
[00:05] （物を動かす音）
[00:13] 話者A: こんにちは、すみません、よろしくお願いします。
[00:15] 話者B: よろしくお願いします。
[00:17] 話者A: 少々お待ちください。
[00:18] 話者B: はい。
[00:19] 話者A: ちょっとイヤホンつけます。
[00:33] 話者A: 少々お待ちください。
[00:35] 話者B: はい。
[00:36] 話者A: 大丈夫です。
[00:41] 話者A: すみません、改めまして高崎と言います。よろしくお願いします。
[00:45] 話者B: よろしくお願いします。犬井と申します。
[00:48] 話者A: はい、よろしくお願いします。
[00:50] 話者B: お願いします。お忙しいとこすみません。
[00:52] 話者A: いえいえ大丈夫です。ちょっとすみません、ちょっと移動中でした。
[00:56] 話者B: あ、そうなんですね。あ、大丈夫ですか。
[00:59] 話者A: 大丈夫です、大丈夫です。大体いつもあんまり、一つとこに留まってないで仕事してるんで。はい。
[01:08] 話者B: えっとですね。連絡させて頂いたのは、画面共有でもいいんですけども、どうしよう。メモ書きはちょっと出したんですね。
[01:21] 話者A: なるほど。じゃあ画面共有できますか？
[01:25] 話者B: はい。メモ帳で大丈夫ですよね。
[01:28] 話者A: 大丈夫です、大丈夫です。
[01:30] 話者B: はい。ちょっと待ってくださいね。
[01:38] 話者B: 私ごめんなさい。
[01:41] 話者A: えっと。
[01:44] 話者B: Google なんか上矢印みたいな。
[01:46] 話者A: パソコンのマークに上矢印みたいなアイコン。
[01:51] 話者B: パソコンのマークに上矢印。はい。内容、パソコンの共有？
[01:58] 話者A: 下にアイコンがいくつか並んでると思いますけど。
[02:03] 話者B: はい。あ、画面共有は押しました。
[02:06] 話者A: 押しました。それで、あ、でもちょっとまだ画面共有ができてなくて。
[02:12] 話者B: どうしよう。
[02:14] 話者A: 画面共有をして。
[02:16] 話者B: 画面全体にすればいいのか。
[02:17] 話者A: 画面全体が分かりやすいと思います。
[02:20] 話者B: はい。画面全体にして。
[02:22] 話者A: はい。それで、メモ帳を表示していただければ。
[02:27] 話者B: はい。あ、分かりました。これ大丈夫。
[02:31] 話者B: 下にキャンセルっていうのがあるけど、関係ないですよね。じゃあこれで。
[02:34] 話者A: キャンセルしたら閉じちゃいます。
[02:36] 話者B: 了解しました。すみません。
[02:38] 話者A: はい。
[02:39] 話者B: じゃあ、メモ帳出し、メモ帳、うん。はい。これで大丈夫かな。
[02:48] 話者B: これで見えます？
[02:50] 話者A: まだちょっと見えないです。
[02:51] 話者B: 本当に？じゃあ、じゃあしゃべります。
[02:55] 話者A: まあ、しゃべるで大丈夫ですよ。
[02:57] 話者B: はい。あの、ですね、なぜ連絡させて頂いたかと言うと、経緯から言うとですね、私、高崎さんが朝、朝ライブを、やってますよね。あれを拝見しまして、で、1回だけ私コメント入れたことがあるんけど、
[03:22] 話者A: 覚えてます。僕多分。
[03:24] 話者B: OCRの件で。で、それで私、そのここ数年ですね、データベースの持ち方すごく大事だっていうので、その辺りはちょっと、出来は悪いんですけど、気合い入れてやってきてるんですね。
[03:43] 話者A: はいはいはい。
[03:44] 話者B: で、それで、自分例えば会計とかですね、そういったものも人に伝えるにしても、自分のデータやっぱ持っとかなきゃというので、自分の会計は全部そのデータに取り込んでるんですよ。
[03:59] 話者A: はい。
[04:01] 話者B: で、例えば、ま、例えばそのコードですとか、クレジットカードとか、そういったものはCSVでそのまま落ちるんですけど。
[04:10] 話者A: はい。
[04:11] 話者B: で、一番その、困るのが現金で、いわゆる普通の領収書ですね、レシート。で、それをスキャナーで読み込んで、それで、CSV、OCR、CSV化しようと思ったら、ScanSnapっていうのを使ってるんですけど、すごくその、認識率が悪いと言いますか、半分ぐらい、ちゃんと読み込んでくれないんですよ。勝手に多分向こうが判断して。
[04:44] 話者A: 判断して。
[04:45] 話者B: そうそうそうそう。それがかえって困っちゃうというか、私にとっては都合が良くなくて。
[04:51] 話者A: はいはい。
