[00:00:00] はいっ 動かそう
[00:00:07] この角度で撮ってもらえると?
[00:00:11] この角度で撮っていいですか?ちょっと上向いて
[00:00:14] ちょっとなんか
[00:00:17] バーチャル背景ブレるかな
[00:00:24] こういう時にこれを使うんですよ
[00:00:27] なるほど、でも実はこれも
[00:00:32] 爪が
[00:00:41] 爪があって
[00:00:44] めっちゃちょうどいいんじゃないか
[00:00:47] さもバーチャル背景風
[00:00:53] これ良しとしましょう
[00:00:56] えーっと
[00:00:59] お、来た
[00:01:05] これもしかして
[00:01:09] 受験帰りお子さんと
[00:01:13] 鉢合わせじゃないかな
[00:01:22] あれ、来ないね
[00:01:53] お疲れさんです
[00:01:56] すいません、先日ありがとうございました
[00:01:59] 全然、ちょっと待って、イヤホンになってないかも
[00:02:02] すいません、ちょっと待ってくださいね
[00:02:05] 僕のせいかな
[00:02:08] 完全に僕が接続を起こさりました
[00:02:12] 大丈夫です
[00:02:15] 先日お疲れ様でした
[00:02:18] ありがとうございました
[00:02:22] 結構ドタバタになっちゃった
[00:02:25] いえいえ、ゆずきくんも良かったなと
[00:02:28] あの後ゆずきはちゃんとやれてましたかね
[00:02:31] 全然大丈夫でしたよ
[00:02:33] 秋葉に行きたいって言って早く帰りました
[00:02:35] そうなんですね
[00:02:37] 許しました
[00:02:40] いいと思います
[00:02:42] 頑張ってほしいなと思いますね
[00:02:45] ありがとうございます
[00:02:47] ちょっとチャットでお送りしたんですけど
[00:02:50] 高崎さんも去年からいらっしゃると思うんですけど
[00:02:53] 結構時代の変化激しいじゃないですか
[00:02:57] 結構ですね、やっぱりどのプログラムも
[00:03:00] AIコーディング結構前提になってるなと思っているのと
[00:03:04] 外注へのすごいこう
[00:03:07] 何でしょう、後ろめたさみたいなところが
[00:03:10] この赤付き補助金を使うにあたって結構出てきてて
[00:03:13] 来年どうしようかってなった時に
[00:03:16] 逆にね、今までは外注結構前提みたいな
[00:03:19] 雰囲気もありましたもんね
[00:03:22] そうなんですよね
[00:03:24] だからそこがやっぱりちょっと自分
[00:03:27] 本人を育てたいっていうような感じなんでしょうね
[00:03:31] その意図が
[00:03:34] 外注だと未踏にいけないからでしょうね
[00:03:37] それもあるんじゃないかなっていうのもちょっと思ってますね
[00:03:40] なるほどなるほど
[00:03:43] 別に外注でもいっていいんですけど
[00:03:46] ゲームにエンジニアを入れちゃうとか
[00:03:49] こういう感じでやってもらうとかだったら
[00:03:54] 例えばYour Storyのプロジェクトとか
[00:03:57] そういうのとかでもいいのかなとは思ってはいるんですけど
[00:04:02] 基本的にはやっぱり三浦くんとか
[00:04:05] 田中くんとかみたいにクロードコードとかを使って
[00:04:10] 基本的には自分でやるみたいなスタンスで
[00:04:13] やってほしいなっていうのがあってですね
[00:04:17] そこでいい人いないかなって思ってたんですよ
[00:04:21] ありがとうございます
[00:04:24] 今、あかつき来年の申請待った中で
[00:04:28] めちゃくちゃバタバタしてる中なんですけど
[00:04:30] 採択結果が5月ぐらいに分かるんですよね
[00:04:33] 例年だと
[00:04:35] もしそこで採択されたら
[00:04:38] こういう事業計画でいきますよっていう
[00:04:40] その書類を今作っているところでございますと
[00:04:44] やりたいこととしては
[00:04:49] ペルソナとしてはですね
[00:04:52] ごめんなさい、資料が出せればいいんですけど
[00:04:57] 害虫じゃなくて自分で作る努力をして
[00:05:00] それでも足りない部分を一部害虫するとか
[00:05:03] そういうような感じでやりたいなと思って
[00:05:06] まずそれをデイ1とかデイ2で
[00:05:09] かけたいなと思っていて
[00:05:11] 高崎さんってあかつき修了生なんで
[00:05:14] あかつき修了生から講演するみたいなところも
[00:05:17] 一つの意義として
[00:05:19] 他の会社にお願いするより結構優位性あるな
[00:05:22] っていうのはちょっとあってですね
[00:05:24] ぶっちゃけた話
[00:05:26] そんな感じで考えてますけども
[00:05:28] どうですかね、これってイメージありますか?
[00:05:31] 結構全然そんなの明日にでもできますよ
[00:05:36] ありがとうございます
[00:05:37] でも8月とかなったら
