[00:00:52] はい 、 おはようございます。
[00:00:54] おはようございます。よろしくお願いします。
[00:00:56] お願いします。お願いします。
[00:00:58] お願いします。
[00:00:59] えーと、全事業所揃われてますかね？鳥栖と大将、フルーの、クリマアクティブスと、廣川は廣川は
[00:01:08] 揃ってるかな？うん。
[00:01:11] 廣川が
[00:01:12] いけるかどうか。
[00:01:14] と、久留米もいって。
[00:01:19] 廣川が揃えば全員
[00:01:21] ですかね。
[00:01:23] 廣川だけだね。
[00:01:24] 廣川前してくわ、今日。
[00:01:27] はい。
[00:01:32] えーっと、
[00:01:33] 何。
[00:01:33] はい。
[00:01:39] 寒い。
[00:01:44] (聞き取り不明)
[00:01:53] (聞き取り不明)
[00:01:57] (聞き取り不明)
[00:01:57] (聞き取り不明)
[00:01:58] ます。
[00:02:00] ちゃんと首輪が増えとるやん。
[00:02:02] あ、はい。
[00:02:03] 首輪が増えましたね。
[00:02:05] もうちょいで入ってきます、廣川。
[00:02:07] はい。
[00:02:08] はい。
[00:02:09] (聞き取り不明)
[00:02:10] (聞き取り不明)
[00:02:13] (聞き取り不明)
[00:02:15] (聞き取り不明)
[00:02:18] (聞き取り不明)
[00:02:20] 怖い、怖い、怖い。
[00:02:23] ちなみにあれですよ、全部聞こえとるっすよ。
[00:02:25] うん。
[00:02:29] (聞き取り不明)
[00:02:30] (聞き取り不明)
[00:02:32] 私語にはお気をつけください。
[00:02:34] ああ。
[00:02:37] あ、これ言うのもあれかも知れないですけど、あの、多分年齢と学年のやつ修正しました。
[00:02:43] (聞き取り不明)
[00:02:44] 岡本さん
[00:02:45] はい。
[00:02:46] あの、年齢と学年の不具合を修正しました、さっき。
[00:02:50] あ、ありがとうございます。
[00:02:52] 確認お願いします。
[00:02:53] なんかちょっと1学年上だったりとかが。
[00:02:55] ですよね。助かります。すいません。
[00:02:58] あれ、色々多分計算方法とかそういうので多分国によってずれちゃったりするんです。
[00:03:05] です。
[00:03:06] の、あれがあるんですね。分け方が。
[00:03:12] (聞き取り不明)
[00:03:15] どうかな？
[00:03:18] いや、ないよ。
[00:03:20] うん。
[00:03:36] (聞き取り不明)
[00:03:37] (聞き取り不明)
[00:03:41] (聞き取り不明)
[00:04:08] そうだよ。
