[00:00:00] こんばんは。お疲れ様です。
[00:00:01] お疲れ様です。
[00:00:01] お願いします。
[00:00:02] お願いします。
[00:00:03] 切ったんですね。
[00:00:04] あ、切りましたよ。
[00:00:04] さっぱり、いいですね。
[00:00:05] そう、なんかあのドライヤーしなくても乾く髪型にしてくれって言われたからこうなるよね。
[00:00:06] あ、いいですね、さっぱりと。楽になる。
[00:00:07] なので今ドライヤーしないで済んでます。
[00:00:07] なんか。
[00:00:08] いやあ。
[00:00:09] まだちょっとドライヤーの自動化に成功してなくて。
[00:00:09] そこ自動化っすか？
[00:00:10] 本当に僕なんかあの。
[00:00:10] 風呂入った後にドライヤーするじゃん。
[00:00:11] するじゃん。はい。
[00:00:11] それが、それそうするともう一回同じ感じで汗だくになるじゃん。
[00:00:12] ああ、あー、そんな、あー、でもドライヤーいいやつ使ってます？
[00:00:12] 結構妻の使ってるからいいやつだと思う。
[00:00:13] マジすか。
[00:00:13] あはあ。なんかちょっと先が細くなってるなんか。
[00:00:13] マジすか。
[00:00:13] はい。
[00:00:13] お願いします。
[00:00:14] あ、そうですね。
[00:00:14] あ、でもこれ本当に良くて。
[00:00:14] まさかそこにこだわりがあったとは。
[00:00:15] いや、これ、いやなんかドンキ行ったら、いいやつが安く売っててそれ買いましたね。
[00:00:15] ドライヤー選定も受け付けるんじゃないすか？
[00:00:16] いやでもそんな詳しくないすよ。
[00:00:16] そこはね。あ、でも本当にあれはなんか、あの、乾きも早かったんであれ。
[00:00:17] 結構感動しましたよ。
[00:00:17] なんか本当にいいやつって本当に意味あんのかなとか思った時ありましたけど。
[00:00:18] あ、本当、本当に効果あるんだみたいな。
[00:00:18] なんの動画とかも見ずに買ったんですけどあれ。
[00:00:18] 確かに。
[00:00:18] なんかもう1000円とか2000円で売ってるやつとね2万と3万とかあの辺のクラス何が違うんだと分かんないけどね確かに。
[00:00:19] なんかイオン、イオンっぽいのでてるみたいなこと言いますよね。
[00:00:19] あとあれですね、あの、乾かした人とドライヤーやらなかった日では翌朝起きた時の髪の跳ね方が違うらしいんですよ。
[00:00:20] 僕、なんなら跳ねさせたいんだよね。
[00:00:20] じゃあダメっすね。
[00:00:20] 跳ねなくなっちゃうんですね。
[00:00:21] いや、跳ねさせたくないの。
[00:00:21] ボサボサしてたいんだよね髪の毛が。
[00:00:22] はい。
[00:00:22] ということで皆さん、いつもありがとうございます。
[00:00:22] はい。
[00:00:23] まずは、えーっと、ドライヤー自動化を今ね、高崎さんが目指すってことで髪を切った。
[00:00:23] ドライヤーなくても乾くというので、えー、ライフハックを、え、話が。
[00:00:24] はい。
[00:00:24] そう。ちょっと髪を切った、それは僕がどうしてもドライヤーが嫌だから。
[00:00:25] というところからこの話が始まってまして。
[00:00:25] うん。
[00:00:25] 色々AIで自動化をだいぶ自分の仕事ほぼ自動化したって言えてると言ってるんですけど、まだドライヤーの自動化が成功してなくて辛い、辛いんです、本当に。
[00:00:26] これなんか詳しい人いたら是非ね、また教えていただけたらドライヤー事情に。
[00:00:26] ドライヤー事情か。
[00:00:27] で、いつもドライヤーしないで寝ちゃうんで、なんか、あの、あれらしいんすよ。
[00:00:27] なんか髪長いとちょっと頭にポッチができやすかったりするんです。
[00:00:28] なるほどね。
[00:00:28] そういう影響もある。
[00:00:29] 悩んでいます。
[00:00:29] はい、ということでね。
[00:00:29] 今日もちょっとこの割と急な告知だった。
[00:00:30] そうですね。
[00:00:30] 急でしたんで。
[00:00:30] はい。
[00:00:30] つまりね、どうかなと思いましたけど、ね、早速お時間いただいてありがとうございます。
[00:00:31] ありがとうございます。で、今日はですね結構あのいわゆるYouTubeでいう緊急で動画回してるんですけれどもみたいな。
[00:00:32] そうすね。
[00:00:32] 感じで、ちょっとひょんなことから結構いい奥義ができちゃったんで。
[00:00:33] いい奥義ができちゃったんでみんなちょっと来てみたいな感じで今日は。
[00:00:34] ありがとうございます。
[00:00:34] ありがとうございます。
[00:00:34] それで、えっとどんな奥義かって言いますとね、こないだちょっとあの朝のライブでひろくんと話してて、ひょんなことからこれどういけるかねみたいな話になったのが、ま、キンドル。
[00:00:36] 一発出版奥義。
[00:00:36] うん。
[00:00:37] なめん、なめんまっていう。
[00:00:37] なんか色々なね、ちょっとあんまり広く言い過ぎるとかなんかどっかからは怒られそうな感じもちょっとあるようなぐらい破壊力があるもので。
[00:00:38] で、実際ちょっとあの作ってみたら結構これが面白くて。
[00:00:39] うんうんうん。
[00:00:39] それでちょっと僕作ってみたんで、ちょっと早速ちょっとね、実行してる画面を。
[00:00:40] 見てもらって。
[00:00:40] で、後でちょっとダウンロードするところから、なんならたくみくんに操作してもらって、開いてもらって。
[00:00:42] 第2、2巻発売。
[00:00:43] なるほど。
[00:00:43] を、このライブ中に。
[00:00:44] ライブ中で。
[00:00:44] え、あのね。
[00:00:45] えっと、一応いけるんじゃないかっていう見通し。
[00:00:45] お。
[00:00:46] ぐらい、ぐらい、いけてるツールになってますっていう導入です。
[00:00:47] なるほど。
[00:00:47] あの何隠そう匠くんは本を出版してますんでね。
[00:00:48] キンドル。
[00:00:48] はい、過去に一度出版したことがあります。
[00:00:48] キンドルですよね。
[00:00:49] その本のPDFのデータとかない？
[00:00:49] ああ、あると思いますよ。
[00:00:50] ほい、行ったかな。
[00:00:50] 話が早いぞ。
[00:00:50] うん。
[00:00:51] 多分ちょっとその辺用意しといていただくと。
[00:00:51] ああ、なるほど。
[00:00:51] それの続編を、続編を書いてくださいみたいなことですか？
[00:00:52] あ、そういうこと、そういうこと、そういうこと。
[00:00:52] そういうことなのよ。
[00:00:53] で、それをね、ぽんぽんでできるんじゃないかっていうのが今日の。
[00:00:54] そんな、そんな、そんなダメなことできます？
[00:00:54] なかなかね、あれですよ。
[00:00:55] あの、あります、あります、あります。
[00:00:55] 世の中のそのYouTubeとかはもっとそれごまかしますからね。
[00:00:56] うんうんうん。
[00:00:56] もう今試してもいないしいっぱつコン版チャレンジをライブでや るっていう。
[00:00:57] はい。
[00:00:58] それは僕をおとりにすると。
[00:00:58] うん。
[00:00:58] いや、おとりにもなるし、でもそろそろ続刊を求むは結構。
[00:00:59] 続刊求む。
[00:01:00] なるほど。
[00:01:00] えっと。
