[00:05] お、こんにちは。
[00:06] ああ、こんにちは。
[00:06] よろしくお願いします。
[00:07] よろしくお願いします。
[00:07] よいしょ。
[00:15] どうですか？その後。
[00:16] その後
[00:17] え、でもまあ、そうですね。あの
[00:21] バイトに関しては、
[00:21] おお。そのまあ目星はついてないんですけど。
[00:23] うん。あの
[00:25] 自動車免許の勉強法に関しては
[00:26] うん。少しちょっとやらさせていただ、あの試させていただいて
[00:28] お、録音して見た？やってみて
[00:31] まあ、なんか何となく自分ではわかるようになってきましたね。
[00:32] あ、本当？
[00:33] なんか結構じゃあ良さそうだな。
[00:34] 合ってるんで。
[00:34] なんか本当にでもね。あの
[00:36] えっ、それこそ
[00:39] 自動車免許みたいなテストはあの、出題範囲が全部決まってるじゃん。
[00:42] はいはいはいはい。
[00:43] だからあの全部を録音するといいよ。
[00:45] 全部？うん。なんか
[00:47] 暗記しなきゃいけないことを全部読む。
[00:49] はいはいはいはい。
[00:50] そうすると
[00:52] あれ、なんか部分部分を読んだりするっていうよりは、もう全部を音に変えてひたすら聞き続けるっていうのをやると絶対に効果が出るはずだから。
[00:56] なんかそうそう。丸ごと、どれぐらい量、結構量ある、あるのかな？
[00:58] そうですね。結構量あるんで。
[01:02] そうですね。
[01:03] そう。でもまあ
[01:05] なんかちょっとね。
[01:07] 何にせよまあ、自動車免許はまあどうなんだろうね。あの
[01:10] 感覚としては、でも、割ともうちょっとで取れるぐらいの感じなんでしょう？
[01:12] そうですね。うん。まあ、だからそこまでなんか丸っと、丸ごと勉強するほど労力をかける必要はないかもしれないけど。
[01:13] だって
[01:16] はい。
[01:16] 基本的にでもなんかその、えっと
[01:19] 今後のいろんなことを覚えなきゃいけないとか勉強しなきゃいけないっていう時は
[01:21] 音に変えてやるとやりやすくなるはずっていうのだけは覚えといてほしい。
[01:24] はい、わかりました。
[01:25] なんか多分ね、昔前の例えばそのお芝居の時とかのセリフを覚えるとかも音に変換してたら絶対覚えやすくなるはず。
[01:28] ああ。そうだったかもしれないですね。
[01:30] 多分ね、両太郎君はね、あの台本とかを読んで文字になってるものを記憶するっていうのは、ちょっとやりにくいはずなんだよね。
[01:33] うんうんうんうんうん。
[01:33] うん。
[01:34] でもそれが音になっててずっと聞いて、なんとなくノリで覚えるみたいな風が
[01:37] あの、だともっと覚えやすくなるだろうね。
[01:38] うんうんうんうんうん。
[01:41] で、そうちょっと色々それで、あの後、こっちもなんかお母さんとかと話したりとか色々状況をちょっとまた聞かせてもらったりとかもしてるんだけど
[01:45] はい。はい。
[01:46] えっと、色々聞いてて、結構気になるのが、あのお父さんとはどう？両太郎君関係っていう。
[01:48] なんかお父さん、なんか、その
[01:50] うん。
[01:52] なんか先生と喋った。
[01:53] その自分の母親が先生と喋った後にその自分が持ってる、その自分自身が持ってる気持ちと
[01:56] うん。その自分の母親が思ってることに、なんかすれ違いとか勘違いがあって なるほどなるほど。なるほど。
[01:59] あの、なんか
[02:01] 俺自体は、そのお父さんに対して別に何とも何も思ってなく。
[02:02] うん。
[02:03] うん、なるほどなるほど。
[02:04] あの、まあ昨日それこそちょうどそのお父さんと喋る機会があって。
[02:06] うん。
[02:07] その自分これからどうするの？みたいなに対して
[02:09] まあお父さんはまあ自分の好きなことやればいいんじゃね？みたいな。
[02:11] 感じだった。
[02:12] うん。
[02:12] 意外とそういう感覚なんすね。
[02:14] なんかやりたいことや、なんかでも本当にやりたかったら うん。就職例えば しながら
[02:19] でもできるんじゃない？みたいな感じの言い方をしましたね。
[02:20] まあ、だからちょっとだから就職はしてほしいなは強いよね。
[02:22] あるのかな？どうなんだろう？
[02:24] まあ、でもまあ、親目線から見たらなんか就職はしてほしいのかなって俺はそう少しは感じましたね。
[02:29] まあ。
[02:32] だから、そっか。じゃあ
[02:33] そう。なんかちょっとお母さんからの話とかだけを聞いてる感じだとすごくちょっと関係性がちょっと、あの、あんまりよろしくないのかなって言う聞こえ方だったものですから。
[02:37] はい。
[02:37] そうです。今は別に、なんかもう あの
[02:40] なんか、も喋る、ま喋る機会がもあんまなく。
[02:41] うんうんうん。
[02:42] で
[02:43] なんで、その昔ほど、そのコミュニケーションをその自分からそのなんかなんかそのトロムみたいなの心掛けてたりもするような時期っていうか、なんかするような感じでもないんで
[02:51] うんうんうんうん。
[02:51] なんか本当に話の流れで喋る感じだったら喋るみたいな感じなんで、その別にその親に好かれ、そのお父さんに認められたいとかお父さんにお父さん、お父さんみたいな感じではないんで。
[02:55] うん。
[02:55] ちょっとあれだよね。それにより、まあ元々のちょっとそういう経験はあるにしても、ちょっとその認められたい対象っていうのがお父さんとかそういう個人、あの狭いところじゃなくて、もうちょっと全体的な感じに今なってきちゃったって感じなんじゃないかなって。
[03:00] ああ。はい。
[03:01] そうですね。元々、その、まあ、そうですね。元々だからお父さんにやっぱ認められたいってたぶん思ってたのは、ま事実なんです。
[03:04] うん。で、まあそこからでも多分どっかでそのは、もうもういいやになったんですよ。ね。多分自分の中で。
[03:07] で、まあ、その自然的なきっかけであの、なんて言うんですかね？社会に認められたりみたいな。
[03:11] うんうんうんうんうんうん。
[03:11] なんかむしろ承認欲求とかがそっちに行っちゃったのかなっていうのは はい。まあ思うところもある。
[03:13] うん。
[03:14] ですね。
[03:15] で、なんか実際そういうような自分の人生経験からなんかその活動に繋げて行ってっていうのはすごく、あの、僕はいい、前向きなことだと思うから
[03:21] で、だから僕は多分そういうような方向のことをのびのびとやれるような環境に今できれば、とりあえずいいのかなって思ってるのね。
[03:26] はいはい。
[03:26] うん。
[03:27] そうですね。
[03:27] イメージ湧く？なんか。あの、で、だからそれでちょっと例えば、そういうのに結構お父さんが否定的だったりとかするんだったら、そこん辺から調整しなきゃいけないなっていう風に思ってたし。
[03:33] うんうんうんうんうんうん。
[03:33] 割とそうでもなく割とのびのびやったりとかちょっとその多分だけど、その先に繋がるステップみたいなのが、ある程度わかりやすくお父さんに示せれば、お父さんは多分一旦、えっと少し、あの、あまり何も言わない感じなのかな？っていうところ。
[03:39] ああ、まあ。
[03:40] そうですね。結構現実的なまあ、考えの人なんで。
[03:42] うん。
[03:42] うん。
[03:43] まあ、そうですね。
[03:44] だ、例えばそういうところでの、えっと自己表現みたいなところの活動をして行って
[03:49] で、そういうふう華やかな少しアパレルとかそういう業界っていうのはなんかそういう、えっと個人のなんか人気とか
[03:54] そういうのが結構ステータスとして大事でーすっていう話になるんだったら。
[03:56] うんうんうんうん。
[03:56] まずそのステータスを貯めなきゃいけませんよね？っていう話になって、それのためにまずはこういう活動をしていきます。
[04:00] で、あと自由に動きやすくするために、えっと仕事は一旦アルバイトにしておきます。
[04:03] でもこれは後々そういうアパレルとかでステップアップして、なんかいい感じに登ってくためのファーストステップでーすっていういいような言い方をすれば まあ大抵の大人そういう話をされると納得をするのよ。
[04:10] うんうんうんうん。
[04:10] で、なのでそういうことを手伝えるかなとは思ってる。
[04:12] なるほど。なんか、その正直、そのまあ、モデルがやりたいっていうのは、まあ自分の中ではまあ思ってるのは確かだんですけど
[04:21] うん。
[04:22] その今自分の年で、例えば、その、ま、モデルやりたいから うん。その例えばま、バイト。
[04:25] うん。を まあ なんかまあ、アパレル系だったり、そのま、何でも、例えばカフェとかにしながら、そのまモデルとかそういうSNSとか頑張って
[04:32] 頑張ったとしたら えっと 何て言うんですかね？
[04:35] 例えば、その途中で うん。やっぱ就職したいな うん。ってなった時に うん。その、なんて言うんですかね？
[04:43] そのあの時その就職 なんて言うんですかね。
[04:44] うう。何て言うんですかね。
[04:45] えっと、どうですか？
[04:45] 自分自身がその今、その、あの、やっぱり普通の自分と同じ年の子達よりは、なんか自分的にはその就職に対して不利なんじゃないかなと思ってて。
[04:49] うんうん。
[04:50] うん。
[04:51] このままだったら、そうそう、そうだったらでそれがプラスして、その年齢が嵩むことによってもっと不利になって、その後悔しないかなと思って、めちゃくちゃその行動に返してくるんですよね、そこの考えが。
[04:57] うん。
[04:57] で、そうす、え、そうしたら就職した方がいいかなになるんですか？
[05:00] え、就、なんかその就職 その同じぐらいになってくるんですよね、自分の中では。
[05:02] なんかその、なんですかね？
[05:02] うん。
[05:03] はいはい。
[05:04] えっと 就職をするか、えっとインフルエンス的な 活動をバイトしながらするか。
[05:09] はい。
[05:09] うん。
[05:10] で、同じぐらいに、ま同じぐらいになってどうなるんですかそれで？
[05:12] うん。
