[00:00:00] （タイプ音、マウス音、その他の環境音）
[00:41:55] 話者A: （タイプ音、マウス音、その他の環境音）
[00:46:25] 話者B: お、お疲れっす。
[00:48:47] 話者A: （タイプ音、マウス音、その他の環境音）
[00:49:50] 話者B: 久しぶりっす。
[00:52:19] 話者A: 結構久々かな。
[00:53:30] 話者B: 久々なが気がしますね。
[00:57:31] 話者A: します。
[00:58:39] 話者B: お願いします。
[00:59:04] 話者A: 聞こえてますよね。
[01:00:27] 話者B: あ、聞こえます。
[01:02:50] 話者B: 元気ですか？最近は。
[01:04:31] 話者A: あ、大分元気ですね。
[01:06:95] 話者B: 痩せました？
[01:08:44] 話者A: あ、でもそうかも。なんか、あの、最近酒めっちゃ減って
[01:13:30] 話者B: ほうほうほうほうほう。
[01:15:06] 話者A: なんか、すごい健康的な生活送ってます。
[01:18:94] 話者B: へえ。
[01:20:41] 話者B: え、あの、別にカンナビノイドのおかげってわけじゃなく？
[01:24:26] 話者A: あ、完全にカンナビノイドのおかげですね。
[01:26:95] 話者B: そうなんすか？
[01:27:85] 話者A: はい、あ、それなしでは考えられないっていう感じで。
[01:31:37] 話者B: あ、相変わらずあのTHCっすか？
[01:34:39] 話者A: まあ、とわ大きい声では言えないけど、今は最近はもうこういう感じで
[01:41:40] 話者B: あ、へえ、カプセルにしてんすね。
[01:43:57] 話者A: ただ服薬してますなので。
[01:45:15] 話者B: うんうんうんうん。
[01:46:17] 話者A: なんかのチルい感じってのとちょっと、なんかただの病人みたいなンスけど、やってること自体は。
[01:54:39] 話者B: ずるいっすね。
[01:56:88] 話者A: なんかねえ。でもこれがやっぱり結構万能ではある。
[02:03:62] 話者B: うーん、いや、いいっすね。
[02:06:85] 話者B: こないだタイ行ったんすけど、やっぱいいっすもん。
[02:09:68] 話者A: ああ、そうですね。
[02:10:48] 話者B: 久々に何年ぶりに吸ったんだろうっていうぐらい。
[02:13:95] 話者B: っすけど、最高っすね、やっぱり。
[02:18:85] 話者A: 今度オランダが控えてるからちょっと。
[02:21:56] 話者B: え、あ、オランダ行くンスか？
[02:22:50] 話者A: あ、オランダとベルギー行くンダす、今度。
[02:25:21] 話者B: へえ、あ、それが家族で？
[02:26:45] 話者A: それがね、家族でです。
[02:28:77] 話者B: へえ、ああ。
[02:29:66] 話者A: だからそれハードモードじゃねえかっていう。
[02:32:89] 話者B: ハードル高っすね、せっかく行くなら。
[02:35:88] 話者A: まあ、でも、うーん、どうしたもんかなあ、みたいなとこっすね。
[02:42:07] 話者B: いやあ、そっか。
[02:45:26] 話者B: なかなか一人時間ないっすもんね。
[02:47:64] 話者A: どうだろう、でも結構なんか夜とか部屋はなぜか僕だけ別部屋っぽいんすよ。
[02:54:21] 話者B: へえ、あ、そうなんすね。
