[00:00:00] すいません。
[00:00:01] え、そっか。
[00:00:01] AIを作らせると便利ですね。
[00:00:07] そうですよね。
[00:07:09] そうね。
[00:12:35] じゃあ、揃ってからなんか色々自己紹介とかしといいですかね。
[00:15:36] はい。
[00:16:15] はい。
[00:16:51] ちょっとだけお待ちください。
[00:18:03] なんか9時から打ち合わせがあるとかって言ってたので、ちょっとしたら伸びてるのかもしれないです。
[00:24:62] 了解です。
[00:25:47] はい、よいしょ。
[00:30:22] 楽して美脚になれるんだ。
[00:33:38] そうですよね、はい。
[00:36:04] オンラインの、はい、あの美脚の
[00:39:03] あ、じゃあ、あの、ちょっと私の自己紹介だけ。
[00:42:07] あ、来ましたね。
[00:47:49] よいしょ。
[00:54:19] 参りました。
[00:55:01] よいしょ。
[00:56:47] はい、お疲れ様でした。
[00:57:34] はい、お願いします。
[00:58:19] お願いします。
[00:59:75] お願いします。
[01:00:99] します。
[01:04:47] はい。
[01:05:41] はい、じゃあ、えっと、簡単に、はい、自己紹介をさせていただけたらと思います。
[01:10:35] はい。
[01:11:13] で、えっと、私と今、あのミツコさんと上村さんですね。
[01:14:42] で、あの同じ事業を今してまして
[01:18:04] で、あの、ま、田中さんと、あの、ちょっとある、あの、他の方のご紹介で知り合いになりまして。
[01:23:66] で、えっと、私がですね、今この、え、この書いてるとなんですけど、美脚セルフデザインプログラムっていう、ま、このオンラインで、え、美脚を作っていきましょうって、あのものをやってるんですけど、ま、本当、あの、ま、普通の、こう、美脚メイクっていうとこから体を鍛えるみたいな、なんかそういうイメージがあるかもしれないんですけど、一切そういうことをしない、で
[01:46:11] へえ。
[01:46:99] はい、あの、どちらかというと、もうほぼ寝てるだけみたいな近い家っていう感じなんですけど。
[01:51:57] あ、これって施術みたいなことですか？
[01:54:49] あ、もうオンラインなのでセルフでやってもらいます。
[01:56:60] はい。
[01:57:38] へえ。
[01:58:65] で、もうどっちかっていうと私たちって、こう、体を無駄に使ってることの方が多いんですよ。
[02:04:02] はい。
[02:04:47] で、痛みが出るとか、その太さが出るとかっていうのは、もう基本的にその使わないところを頑張って使っちゃってるので、そういう症状が出てしまう。
[02:13:30] で、正しく体を使えば、動物的な使い方をしていけば、その体っていうのはその、痛みもないし、え、細くなっていくっていうところが。
[02:22:23] はい、私自身の経験からあってですね。
[02:24:43] で、それをこう、はい、色々SNSとか使って発信してたら、ま、今もほぼ9.7万人ぐらいですね、インスタで。
[02:32:04] はい、フォロワーさんが付いていただいて。
[02:33:57] はい。
[02:33:88] 結構皆さん、あの、関心があるんだなっていうところで
[02:37:62] はい。
[02:37:92] ま、それを今やらせていただいて。
[02:39:56] ちょうど1年ぐらい前に、あの、ま、ローンチとか、え、ま、イベントを行うような、あの、集客の仕方をしたから、これがこう、私たちには合っていてですね。
[02:50:39] で、結果的にそのイベントをすれば、ま、するだけ、あの、毎回150人とか、え、ぐらいの形がこう、ちょっと制約して入ってきてくれるみたいな感じになっていて。
[03:00:19] はい。
[03:00:54] もう、あの、私たちだけでは回りませんっていう状態になっておりまして。
[03:05:68] はい。
[03:06:17] で、ま、インストラクターの方とか、え、ま、いろんな方に、え、業務いったグっていう形でお祝いはしてるものの、やっぱりこう、品質の管理が難しかったりとか。
[03:15:00] で、よりもっと、あの、自己さんに出してもらいたいなっていうところで、はい、AI活用していきたいなっていうところで、はい、田中さんと相談させていただいてるっていうです。
[03:24:25] はい。
[03:24:78] よろしくお願いします。
[03:26:40] わかりました。
[03:26:95] ありがとうございます。
[03:27:57] はい。
[03:28:44] じゃあ、みつこさん、お願いします。
[03:34:61] あ、みつこさん自己紹介お願いします。
[03:36:99] すいません。
[03:37:25] はい。
[03:37:68] あの、改めまして、上村と申します。
[03:39:69] あの上に村と書いて上村と申します。
[03:42:25] はい。
[03:43:44] で、私自身は、あの、まだ、あの、これを副業としてやらせてもらってまして。
[03:49:00] で、本、本業では、あの、昔からある、あの、コンサルティングファームの方に長年勤めてまして。
[03:54:55] で、ま、そこん中で、こう、B2B向けに、こう、あれですね、DXだとか、ま、ITだとか、ま、基本は、あの、事業戦略みたいなところでやってるんですけれども。
[04:03:68] はい。
[04:04:06] そういったところで、一応、あの、世間の人よりは、そこら辺には、こう、多く触れてきれてたりとか。
[04:10:04] あと、会社から、やっぱり、AIエージェント含めても、いろんな人がいろんなことやりまくってて。
[04:15:47] で、ただ、どうしても、こう、スピード感っていうのが、こう、今やってるビジネスと比べると、もう本当に、こう、今、振り向いたら、いないぐらいな感じで、こう、圧倒的に大企業の方が遅いとこもありまして。
[04:26:99] で、そのあたりを、こう、前回の、あの、アシュラのアレですね、セミナー、田中さんが出し、出していただいて。
[04:33:57] で、私自身も、あの、クラウドコードとかって、いちびりもわかんなかったんですけど。
[04:38:39] あの、あれを出たら、一応、ま、簡単なアプリだとかっていうのは、ま、作れる状態には、もう、なってまして。
[04:44:03] で、あと、色々、こう、勉強してく中で、ま、それをどう、プロジェクトとして、こう、使ってくの、とか、ま、そのあたりも、こう、ザ、自分で勉強して、だいたい、こう、外観っていうか、全体像はわかって、そんな状況です。
[04:56:49] で、先ほど園田が申し上げた通り、やっぱり、その、あの、弊社のメソッドって、一番、あの、原因と結果のメカニズムを明確にしてまして。
[05:06:54] あの、結局、こう、見た目が悪い、というのは、どこか、こう、体の使い方が悪いので。
[05:11:51] で、その体の使い方が悪いと、あの、我々の中で、無意識の筋トレですね。
[05:15:68] あの、体って、結構、便利にできてて。
[05:18:61] あの、不安定だったり、倒れたり、怪我したりするっていうのは、脳が判断してしまうと、あの、勝手に、こう、代償運動って形で、こう、普段使わない筋肉を使ってしまって。
[05:29:43] で、そうすると、なんか、こう、外が、こう、やたら張ってる人だとか、なんか、太ももが、やたら、こう、パンチパンチしてる人達は、あの、結局、その体のサインだというふうに捉えてまして。
[05:40:22] おお。
[05:41:40] 僕、結構、変な靴の削れ方とかするんですよ。
[05:45:51] ああ。
[05:46:61] まさしくおっしゃる通り。
[05:47:64] あ、なるほど。
[05:48:33] なんか、結構、外から、あの、遠くから来ても、すぐわかるって、結構、言われて。
[05:55:54] へえ。
[05:56:48] それ何でかっていうと、歩き方だって言われるんですね。
[06:00:46] だから、多分、おっしゃる通りです。
[06:01:97] おそらくすごく変な歩き方なんですね。
[06:04:84] 自分では認識ないですけど。
[06:07:65] 多分、なんか、あるんだ。
[06:09:12] で、なんか、言われたら、なんか、多分、変な筋肉のつき方とか、めっちゃしてそうって思いました。
[06:16:92] あ、もう、おっしゃる通り、あの、足、足裏から、あの、スタートしてまして。
[06:22:20] で、あの、足裏っていうか、あの、三点アーチって言うじゃないですか、あの、こう。
[06:25:35] うんうんうん。
[06:26:71] あの、凹んでる土踏まずのところ。
[06:28:40] はい。
[06:28:70] で、あれが、あれが、本来、こう、ふわふわって歩くのが、こう、動物と一緒で、こう、猫みたいな感じですね。
[06:34:69] あれが、人間もできるはずなんですが。
[06:36:99] ま、いろんな、こう、生活習慣、あの、靴履いたりとか、いろんなことしてしまって、壊れてしまって。
