[00:02:59] よろしくお願いします。
[00:05:00] はい、お願いします。高木君も大丈夫？
[00:10:00] 声がミュートです。
[00:12:00] あ、失礼しました。
[00:14:00] 聞こえますか？
[00:16:00] はい、聞こえます。
[00:17:00] うん、聞こえます。
[00:18:00] すいません、朝ディルツで。
[00:19:00] あ、いえいえ。
[00:21:00] なので今日は元気であります。
[00:23:00] むしろ。
[00:25:00] 頑張ります。
[00:27:00] いや、朝のやつもめちゃくちゃ面白かったですね。
[00:29:00] そうですね。
[00:31:00] ゲーム広告出す、やってきたい。
[00:34:00] ゲーム
[00:37:00] これどんどん事例作ってやったらみんな真似したくんだから。
[00:39:00] ですよね。
[00:40:00] 真似しちゃ悪いしない。
[00:43:00] そう。本ちゃん、もう、そういう実戦会、週1でどんどんやってったら、どんどん増えてきそうな気がするし。
[00:48:00] うんうんうん。
[00:49:00] うんうん。
[00:50:00] あとは、やっぱメンバーの人がついてこれない人がいっぱいいるから。
[00:53:00] はい。
[00:53:00] なんか、黙々作業会とか、ちょっとやってみようかなと思うんですけど。
[00:57:00] そうですね。
[00:58:00] うん。
[01:01:00] ま、それこそ、なんだろう。え、僕が勝手に場を開いて、高崎さんとかは、ね、高木君とか出れたら出れるぐらいな感じでいいかもしれないですし。
[01:08:00] うん。
[01:09:00] で、そうすると、なんか、高崎さんがどんどん開発しまくってくれて、僕が実践使ってみて、こう使うといいぞってのを、え、会員さんに教えてくっていうのは、なんかできるとすごい良い実践会になる気がしたんで。
[01:21:00] うんうんうん。
[01:21:00] あの、どうしてと僕が勝手に突っ走っていっちゃうんで。
[01:26:00] あの、周りの人とかをうまく追いついてこさせてくれないと、どんどん乖離していっちゃうっていう。
[01:34:00] そう。その間をちょっと僕が埋めるのが役割かなって、ちょっと今一周回ってみて思ったので。
[01:41:00] 是非よろしくお願いしたいところでございます。
[01:44:00] はい。
[01:45:00] 僕はずっと走ってんの、こうやって。
[01:48:00] 止まら、止まれない親父ですか。
[01:51:00] うん。
[01:52:00] どんどん暴走していって下さい。僕がその間を埋めるのでいいんで。
[01:55:00] はい。
[01:56:00] ま、もちろんね、合わない人はどんどん聞いてってもらっていいんですけど、なんか、そう。
[02:00:00] 使え、使いたいのに使えなかったってのは残念なんでね。
[02:03:00] そうですね。
[02:04:00] そう。はい。で、今日の13時は、えー、ちょっと、なんだろう。図解で一体今まとめているんですけど。
[02:12:00] って、あの1時ぴったりからでしたっけ。何時からでしたっけ。
[02:15:00] 1時から。
[02:16:00] 1時から。了解です。
[02:17:00] 1時からですね。
[02:18:00] はい。
[02:20:00] で、えっと、何やったかっていうと、えっと、実務か、まずあれか、えー、ビューティクスだっけ。
[02:22:00] はい。
[02:28:00] 環境確認して業務棚卸し、AI化と、ま、GitHubでなんかあれっすよね。探したんすよね。なんかツールを。
[02:38:00] そう。で、なんか、探すのも、あのプロンプトに組み込んだので、え、そのクローズドコードにコピペして貼ったら、そういうのも全部、えー、なんだろう、できますよみたいなプロンプトを提供して。
[02:54:00] うんうんうん。
[02:54:00] それをコピペして、あとは、そうするといろんなヒアリングがきて、現状の確認して業務の棚卸しして。で、この、じゃあ、今日、今回はこれをAI化しよう、みんなバラバラで。これをやりたい、あれやりたいとか。え、あ、そういうなんか、Facebookグループにまとまってた気がするな。
[03:13:00] これもちょっと、はい。
[03:15:00] やりま、すいません、僕も忘れちゃったんで。
[03:17:00] じゃあ、一応今、皆さんはGitHubをから何かのツールを落とした、落として使ってみたかな、みたいな状態。
