[00:00:03] 開催しますって言って。
[00:00:07] なんか、あの、それコードの黙々会のこうちょっと、鳴らし運転みたいなのそこでするって感じですしね。
[00:00:13] ですね。
[00:00:16] ま、あと何か普通にね、あのー。
[00:00:24] 場を荒らさなそうなやつであればあの、今後やってく講座とかにはなんか熟成は出てもいいかなとか思って。
[00:00:35] ただ、あの、それこそ祝日の9時とかは授業せずに僕らの研修をそこでやっちゃうかとかってのもありますよね。
[00:00:42] もしくは、あの、で、そこに熟成で参加しそう、できそうなやつはなんか2位できてもらっ。
[00:00:50] うん。
[00:00:51] っていう手もアリっちゃアリですよね。
[00:00:54] そう、そう。
[00:00:54] なんか研修っていう名の講座みたいなのをなんか毎月やってもいいのかなと思うしね。
[00:01:06] なんかそれでだから、あの、不熟メンバーとか熟成はなんかライトにフラットその研修と言うか講座みたいなの、あの、全然追加料金なく受けられて。
[00:01:18] うん。
[00:01:21] で、大人とかも参加しててみたいな。
[00:01:25] そうですね。
[00:01:26] うん、なわけで。
[00:01:26] ええと、だからあの講座内ではその大人への対応を優先するけど、えっと、君らはあの講座外のところで適当に好きに聞いてみたいな。
[00:01:38] しとけば。
[00:01:39] なんかみんなのスキルも伸びて講座もやりながらやってけるかなって感じ。
[00:01:47] そうすね。
[00:01:48] うん。
[00:01:48] うん。
[00:01:49] なんか研修と講座を一緒にやってくスタイルは僕は結構不熟らしくていい気がする。
[00:02:00] それでやれば、えっと祝日はえっと一旦祝日はえっと1回どっか長期に固めて何時間でやってしまう。
[00:02:10] そう。
[00:02:11] うん。
[00:02:11] うん。
[00:02:12] そうだね。
[00:02:12] やってしまう。
[00:02:14] そこの祝日を研修とか他の時間にあてて使うとか、まあ。
[00:02:18] もしそこに講座もってくるとか、そういうこと祝日午前に来れるってのが分かってるんであれば祝日午前にえっと、なんか別のものも うんうんうん。
[00:02:29] そうね。
[00:02:29] うん。
[00:02:29] 持ってくるとかっていうのは。
[00:02:31] うん。
[00:02:32] ありですね。
[00:02:32] ありありあり。
[00:02:37] いいじゃない？
[00:02:38] そしたらいいね。
[00:02:40] じゃあ年間スケジュールを。
[00:02:43] ええと、年度、年度でいいんですよね？これ。
[00:02:46] 年度でいいよ。
[00:02:47] うん。
[00:02:48] 年度でいいから、えっと。
[00:02:50] 4月から。
[00:02:51] 4月から来年の3月まで。
[00:02:53] ああ、オッケーです。
[00:02:54] オッケーです。
[00:02:59] あ、6日間ありますね。
[00:03:01] えっと、来年。
[00:03:04] うん。
[00:03:05] えっと、月曜日の祝日は6日間あります。
[03:07] 6時間分ですね。
[00:03:09] なるほど。
[00:03:12] 6時間をなんか、まあ12日間とか分けてちゃうんでやっ。
[00:03:16] まあ3時間3時間ぐらいでいいんじゃない？全然。
[00:03:19] そうですね。
[00:03:19] 別になんか。
[00:03:24] あんまり、割と。
[00:03:29] 塾の児に関しては時間が伸びることには関してはなんか別に問題なさそうじゃない？なんかみんな。
[00:03:36] そうですね。
[00:03:37] あの、減ることは嫌がりそうですけど。
[00:03:40] うん。
[00:03:40] うん。
[00:03:41] そうそうそう。
[00:03:44] 多分3時間ですって言ってもはあってなる。
[00:03:49] なんか、例えばえっと冬と夏に3時間ずつ分けるとこしたら面白い。
[00:03:55] うん。
[00:03:57] なんとなくそうすると毎年なんかあるみたいな雰囲気にもできるしね。
[00:04:00] かつにそのオーク目吹開のまたは祝日分のオーク目吹開をそこで一気にやるからみたいな。
[00:04:03] うん。
