[00:00:00] おはようございます。
[00:00:18] はーい。
[00:00:23] みなさん準備はいいでしょうか。
[00:00:36] あれ、あと何人来るっけ。
[00:00:55] お疲れっす。
[00:00:58] これみんな揃ったかな。
[00:01:13] じゃあなんとなく始めていこうと思います。
[00:01:17] よろしくお願いします。
[00:01:20] パチパチパチパチ。
[00:01:22] ちょっと待ってくださいね。
[00:01:41] これで画面も見えるかな。
[00:01:51] えっと初めて大丈夫そうですか。なんかリアクションとかをなんかしてくれると助かります。
[00:01:59] というより、みんなあれか、みんなミュートにしてるから、なんかあれだな。
[00:02:08] あ、なんとなく上がってきたからOKかな。
[00:02:12] タクミはいるのかな。
[00:02:22] タクミの反応がないけど、いるはいる。
[00:02:28] よし。
[00:02:32] ほいじゃあ、ちょっと始めていきます。よろしくお願いします。
[00:02:37] 本日はLINEミニアプリ実践講座ということで、
[00:02:41] まあちょっとこういう講座を実際にやって、
[00:02:46] ちょっと実際集客とかもしていこうと思ってるんですが、
[00:02:51] 実際このLINEミニアプリは講座もできるようになってくれるとお得ですし、
[00:02:58] そもそもこのLINEミニアプリを作れるようになってくれると、
[00:03:02] それもそれでいろんな副業的にお金を稼ぎやすいと思いますので、
[00:03:08] ちょっと今日はそういうシェアと勉強会のブラッシュアップを含めてやらせていただきます。
[00:03:15] よろしくお願いします。
[00:03:20] なるべくそうですね、別にわちゃわちゃみんな途中途中で喋ったりとか意見を言ったりとか、
[00:03:28] 不明点とか言ってくれて大丈夫なので、そんな感じでお願いします。
[00:03:35] どっちかってちょっと、みんな顔は公開できない感じですかこれは。
[00:03:41] なんか全員が顔出してない状態で一人で喋ってるのが非常に虚しいです。
[00:03:54] これは声は聞こえてる?
[00:03:58] あまりにちょっと顔が出てない、チャットがない、反応がないだとちょっと喋りにくいんですよね。
[00:04:05] あ、ありきた、ありがとう。
[00:04:09] そうなんすよ。なので出せる人は顔を出してほしい。
[00:04:14] 出せない人は出せないとはっきり言ってほしい。
[00:04:17] チャットで言ってほしい。
