[00:00:01] んも。
[00:00:08] ほい。
[00:00:10] 生 ます。
[00:00:14] いらっしゃいませ。どうでしょうか？
[00:01:22] おいでですか？
[00:01:28] まんま行った？
[00:01:51] 明後日はの1日より。
[01:57] すいません、ありがとうございました。
[02:02] で、お疲れ様です。
[02:04] どうも、ありがとうございました。
[02:21] まだでも。
[02:21:42] あ、オッケーオッケー。
[02:21:44] 帰りますか？
[02:21:45] ん？あの。
[02:21:47] ベビーあれします。戻しますか？
[02:21:50] あ、後でで。
[02:21:52] 後で、あの焼肉の時になんかそれも含む。
[02:21:58] あ、なんかそれ。
[02:22:00] あのうんと、そうだな。戻してもらうのが早いね。
[02:22:05] そうですね。
[02:22:06] ややこしくなるよね。
[02:22:08] あ、オッケー。
[02:22:11] うわ。
[02:22:12] ミスったぜ。
[02:22:15] 思って思ってたのど違ったぜ。
[02:22:22] さすがに僕そこまで分かんないです。
[02:22:24] あれミートになってるよな。
[02:22:27] パスタ食べましたよ。
[02:22:29] は？ミートと。
[02:22:31] ミート美味しかったす。
[02:22:33] ボロネーズだろう。
[02:22:35] ほんとです。
[02:22:35] うん。僕はねあそこでいつもね、あの辛めにすんのよ。
[02:22:41] 辛め。
[02:22:42] 辛。
[02:22:44] 辛ねえぜ。
[02:22:46] え、アラビアたんですか？
[02:22:48] 違う、違う、違う。あのね、ボロネーズを辛く。
[02:22:52] ちょ、そんな機能あるんですか？そんなこといいんすか？
[02:22:58] いや。
[02:22:59] いや、音楽聞かない聞かない。
[02:23:01] ありがとうございます。
[02:23:05] そんなことできるんですか？
[02:23:11] そう。
[02:23:12] で、まあちょっと。
[02:23:17] すいません、困ってることが。
[02:23:23] 誰かここの上よっと。
[02:23:24] あ、俺があとあの困ってしまっしょ。
[02:23:27] 誰がここ上します。
[02:23:29] うわ。
[02:23:32] じゃあ、とりあえずこの勉強会に参加しているよ。
[02:23:36] わかりました。
[02:23:37] ちょっとねもそれしながらEブリッジをマイペースにちょっと進めてみるわ。
[02:23:43] あ、オッケーです。
[02:23:55] しまったよ。
[02:24:00] 5人でした。
[02:24:01] 明日3人でどうでしょうか？
[02:24:03] はい。
[02:24:03] あ明後日もね、あと払い。
[02:24:10] ございますね、言葉でしょうか？
[02:24:12] 明日さん1日乗り。
[02:24:13] すいません。
[02:24:14] ありがとうございました。
[02:24:18] ありがとうございます。
[02:24:20] はい。
