[00:05] え、ちょっと
[00:07] 一瞬まだあれちょっと今まだ頭、あ、今土砂降りで誘った。
[00:17] ちょっと頭を、頭をふき、頭を拭きたいんですよ。
[00:28] うん。
[00:33] うん、ちょっと何で
[00:36] 頭拭いてます。
[01:26] よいしょ。
[01:28] はい、さあなっております。
[01:29] お疲れ様です。
[01:31] あ、お疲れです。
[01:32] お疲れ様です。
[01:33] お疲れ様です。よろしくお願いします。
[01:35] よろしくお願いします。はい。
[01:37] 今日1人、あの、うちの熟生の、中学生の子が1人、あの、あ、あの一緒に、あの、ここに、あの、行ってきた。ついでにあの入れてくれてるので、お願いします。
[01:43] よろしくお願いします。
[01:44] ドラッグってこう言うことだぞって言うのをちょっと見せてあげたいと言うところで、はい。 しております。
[01:48] よろしくお願いします。
[01:49] はい、じゃあよろしくお願いします。
[01:51] はい。
[01:51] ちょっと早速なんですけども、あ、ちょっとまずちょっとナレテックの方から、ちょっといくつかご相談させていただきたくて、ちょっとご連絡させていただいた。
[01:58] はい。
[01:59] ことで、で、まず、ま、今後の、ちょっとマイクラフトのサーバーなんですけども、はい。 えっと、ま、ナレテックの方でも、一応先週で一旦休止と言うことにはなったんですけども、一応念のため、再開の可能性もあると言うことで、サーバーの方は残していただいたらなと言う風には思っていまして、はい。 はい。 こちら大丈夫でしょうか。
[02:24] え、僕は大丈夫なんですけど、特に多分あの、えっと、あ、でもXサーバーの契約をどうするかってところになりますね。
[02:32] そうですね。
[02:33] なので、契約は一旦やめといて、そのワールドデータだけは保管して残しておくって言う形。
[02:39] あ、それうちだね、はい。お願いします。
[02:40] で、大丈夫ですかね？そしたら
[02:42] はい、そのように。
[02:43] あれだよね？ドライブにデータって残ってるんすね。
[02:46] 残ってるはずなんで、えっと
[02:48] 多分自動バックアップには、今現状はなってるんだよね、きっとね。
[02:52] あの、多分えっと、なんかのGoogle えっと、Googleアカウントのなんかバックアップデータみたいなのがあった気はする。
[02:59] いや、あの、ナレテック用に昔作ったうん。
[03:02] うんと、Googleドライブの上にきっと入ってるはずなんですよ。
[03:07] ふんふん。
[03:07] 繋がってるかどうかわかんないですけど、そこが止まってなければ、録音もしてないんですけど。
[03:13] 僕だっけね。
[03:21] ああ、なんかロボット、ロボットですか？みたいな聞かれてしまった。
[03:25] 実は巧君は僕が作ったロボットだったのでです。
[03:29] 本人は知らないけど。
[03:31] ええ、ええ、ええ、そうだったんすか？
[03:33] 首の後ろになんかチップの番号が書いてあります。
[03:40] いや、割とガチっぽく聞こえますね。
[03:42] コアI 1 って書いてあります。
[03:52] あれ？
[03:53] 何？
[03:54] えっと、うん。
[03:55] あった？
[03:57] どこだろう？
[04:00] フルワードどうしたんだっけな？
[04:01] 今、今さわちゃままだ動いてますね、あれきっと多分。
[04:07] 多分、うん。契約切ってなければ動いてるはずなので、そこに行けば、最悪ワールドデータは、えっと、生きてるはずなので、最後のデータを1回コピーして持ってくれれば問題ないですよね、きっと。
[04:20] うん。 うん。
[04:21] 1回ワールドデータを多分こっちにローカルっていうか、うん、1回保存最悪しとけばあ、そっか、もう今日3月31か。
[04:32] はい。
[04:32] 今年後はあ、じゃ、もう終わったんですね、教室は？
[04:37] そうですね。先週で最後というところで。
[04:39] ああ、あ、どんな感じだったんすか？
[04:44] いや、なんか普通に、なんかシレット。
[04:46] 普通に。
[04:48] ええ、えっと、え、ごめんなさい。
[04:50] よいしょ。
[04:51] 感動。
[04:51] うん？
[04:53] お、ま、そう言う
[04:54] じゃ、やっときます。
[04:55] あ、はい。
[04:56] みたいな感じで
[05:00] 涙、涙のやめて、あの、あのす、えっと、また脱線し始めるんで、一旦戻りましょう。
[05:03] いや、でも一応結構長いことやってきたんで、どういうふうに終わったのかは、あの共有しといた方が。
[05:08] そうですね、そうですね。
[05:18] はい、よし。
[05:23] よいしょ。
