[00:00] （ノイズ）
[00:50] 話者A: はい、お疲れ様です。
[00:51] 話者B: あ、お疲れ様です。
[00:52] 話者A: はい。
[00:53] 話者B: よろしくお願いします。
[00:54] 話者A: はい。
[00:54] 話者B: 今日、今日。
[00:55] 話者A: はい。
[00:56] 話者B: めちゃくちゃ暑いですね、今日。
[00:58] 話者A: 実は。
[00:59] 話者B: 秋田はめちゃくちゃ。
[01:00] 話者A: 今日、まだマシですね。
[01:01] 話者B: あ、秋田はめちゃ寒い。
[01:03] 話者A: あ、ミュートになってます。
[01:04] 話者B: あ。
[01:06] 話者B: 秋田はめちゃくちゃ実は寒いです。
[01:08] 話者A: え？
[01:09] 話者B: ええと、15度とかですか？
[01:10] 話者A: 寒。
[01:11] 話者B: うん、めっちゃ寒い。え？っていう、なんかビビる寒さです。
[01:16] 話者A: ちょうどいいっすね。
[01:18] 話者A: こっち30度ぐらいあるんすけど。
[01:19] 話者B: あ。
[01:20] 話者A: マジっすか。
[01:21] 話者B: マジっすか。
[01:22] 話者A: 普通に30度なんですよね。
[01:24] 話者B: マジですか？
[01:26] 話者A: なるほど。
[01:27] 話者B: 全然違いますね。
[01:30] 話者A: 普段は、えっと、どちらにいらっしゃるんですか？
[01:34] 話者A: ひろくんはどちらにいらっしゃるんでしたっけ、普段は？
[01:36] 話者B: 東京。
[01:38] 話者A: ああ、やっぱ、そうですね。
[01:39] 話者A: 東京は暑いですよね、そうなると。
[01:41] 話者B: そうなんです。
[01:43] 話者A: 確かに。
[01:45] 話者A: 30度。
[01:46] 話者B: 完全夏になった。
[01:47] 話者A: 夏ですね。
[01:48] 話者B: うん。
[01:49] 話者A: 朝から熱湯が吹いてる感じの。
[01:50] 話者B: ええ、いや、いやですね、それ。
[01:52] 話者A: うわあもう。
[01:53] 話者B: うわあもう。
[01:55] 話者A: むしろ東南アジアって感じが。
[01:56] 話者B: 変な天気でずっと。
[01:58] 話者A: うん、うん、うん。
[01:59] 話者A: よいしょ。
[02:00] 話者A: ということで、そうだ。
[02:02] 話者A: じゃあ早速ですが。
[02:03] 話者A: はい。
[02:04] 話者A: 色々もろもろ詰めていきたいなと思うんですけど。
[02:07] 話者B: はい。
[02:08] 話者A: 決済回りもね。
[02:09] 話者A: これどんな感じになるんすか？登録すると。
[02:11] 話者B: えっ、ちょっと、えっと、先ほど直前に送ったリンクがあって。
[02:16] 話者B: ま、ちょっとそれも見て、もらいつつ、僕もじゃあ実際それを操作しながら画面共有ちょっとし-てちょっと説明します。
[02:25] 話者A: うん、うん、うん。
[02:26] 話者B: ま、というのもやっぱちょっとやっぱり。
[02:29] 話者B: えっと、色々ダダダッと作ったせいで、結構その。
[02:36] 話者B: えっと、フォームは回答したけど、決済の手続き進んでないよ、みたいな。
[02:41] 話者A: はい、はい、はい、はい。
[02:42] 話者B: で。
[02:43] 話者B: で、まあ、ちょっとそこにいろんな要因はありそうだなと思うんですけど、まあ、少なくともとりあえず。
[02:52] 話者B: えっと、メールが届いてないとか、極限までなるべくスムーズになるとか、そういうのはちょっともうちょっと整えたら、取りこぼしは少なくなるだろうなと思いまして。
[03:05] 話者A: うん、うん、うん。
[03:07] 話者B: で、ま、色々をちょっといじってみた結果多分。
[03:10] 話者B: えっと。
[03:13] 話者B: フォームからまずメールで自動返信するっていうのは。
[03:18] 話者B: えっと。
[03:20] 話者B: 基本的には、その、その仕組みにすると、ガスから送ることになって、ガスから送るとガスで、ガスを作ったGoogleのGメールアドレスから送られる仕組みになっちゃうんすよ。
[03:35] 話者B: なんで僕、あの、返信のメールが全部、あの、皆さんに届いてるの多分最初高崎19841121みたいな、僕の個人アドレスから送られてくるみたいになっちゃってて。
[03:47] 話者A: はい、はい、はい、はい。
[03:48] 話者B: まず、まずその時点で第1の取りこぼしはおそらく発生するじゃないですか。
[03:54] 話者A: うん、うん。
[03:55] 話者B: で。
[03:56] 話者B: さらにちょっとその。
[04:00] 話者B: えっと、Gメールが1日100通までしか送れないっていう制限があって。
[04:07] 話者A: うん。
[04:08] 話者B: で、実際にそれで送られてない人も結構何人もいます。結構何人かいるっていうので、これでも第2の取りこぼしが起こってる。
[04:17] 話者A: うん、うん、うん。
[04:18] 話者B: あとさらに、なんかちょっとリセンドっていうので送る仕組みになってたんですけど。
[04:23] 話者B: あ、リセンドで送るような仕組みも。
[04:27] 話者B: あ、さらに、なんかそのGメールから送られてるのもあれば、リセンドから送られてるのもあって、ごちゃごちゃになってて、メール自体が。
[04:36] 話者A: うん、うん、うん、うん。
[04:37] 話者B: ま、ちょっとそれでも多分、あの、取りこぼしにつながり。
[04:42] 話者B: さらにその、えっと、リセンドで何も設定しないで送られてきたメアドもまたちょっと変なメアドになるんすよ。
[04:50] 話者A: うん、うん、うん。
[04:51] 話者B: っていうので、なので。
[04:54] 話者B: えっと、まずメールの送り方を統一するのと、送られてくるメールアドレスを統一するっていう、この辺のデカい問題があったんで。
[05:05] 話者A: うん、うん、うん。
[05:06] 話者B: 多分それを一応、結構、えっと、対応したつもり。
[05:11] 話者B: 今、になってます。
[05:13] 話者B: はい。
[05:15] 話者A: ま、そうすね。
[05:16] 話者A: ここで、ね、もったいないすもんね、取りこぼしちゃうとね。
[05:19] 話者A: うん。
[05:20] 話者B: で、もうなんか結構結果的にそれで全部のそれ穴を割と潰して。
[05:25] 話者B: で、さっきの。
[05:27] 話者B: えっと。
[05:29] 話者B: 送った。
[05:31] 話者B: えっと、リンクはあれですね。
[05:33] 話者B: あの、Googleフォームをなるべく違和感なく埋め込んだ、埋め込んで作ったページのリンクになってます。
[05:43] 話者A: うん、うん、うん。
[05:45] 話者A: アシュラのサイト内に収まってる感じがしていいですね。
[05:47] 話者B: あ、そうです、そうです、そうです、そうです。
[05:48] 話者A: うん。
[05:49] 話者B: そんな感、でこれで、あの、ページ内スクロールもなしにしてるんで、まあ、Googleフォームを開いたのと違和感ない感じになってる。
[05:59] 話者B: で、これで、えっと、例えば、まあ、高崎テスト。
[06:05] 話者B: まあ、で、えっと、じゃあ。
[06:09] 話者A: いやー、それはちょっと、試さないと分かんないすもんね、やっぱりね。
[06:12] 話者B: そう、ま、でも試した結果。
[06:15] 話者B: ま、多く、多くの取りこぼしという犠牲の元。
[06:20] 話者B: ちゃんとでも、その犠牲、尊い犠牲の元、あの、素晴らしい問い合わせのルートができましたよ、これ。
[06:28] 話者A: ああ、よかった。
[06:29] 話者B: 結構。
[06:30] 話者A: いや、よかった。
[06:30] 話者B: ないと。
[06:31] 話者B: え？こんな素晴らしい問い合わせルート、僕今まで見たことないんじゃないかってぐらいうん。
[06:38] 話者A: おお、すごい。
[06:38] 話者B: いや、まあ、分かんないす、20人ぐらい飛び込むかもしれない。
[06:41] 話者B: まあ、なんかとりあえずこれで、こうやってこうやって。
[06:47] 話者B: 同意しますとかってやって、送信普通にする。
[06:50] 話者B: そうすると、えっと、埋め込んでるページのやつなんで、送信に反応して、自動で決済リンクがもうこれ表示されます。
[07:00] 話者A: あ、素晴らしいですね。
[07:02] 話者B: ちょっとここがやっぱりあの、メールを挟んでメールのリンクを押してくださいだと、どうしてもちょっと厳しくて。
[07:10] 話者B: で、えっと、Googleフォームは、その、別ページにリダイレクトができないんですよ、仕様上。
[07:18] 話者A: あー、はいはいはい。
[07:19] 話者B: なので、えっと、自分のページに違和感なくGoogleフォームをGoogleフォームのように埋め込み直すっていうことをする事に。
[07:30] 話者A: なるほど。
[07:31] 話者A: すごい。
[07:32] 話者A: 力技。
[07:34] 話者B: 力技。
[07:35] 話者B: それで回避しています。
[07:37] 話者B: で、一応念のため、えっと、ここでなんか逃げた人のために、えっと。
[07:44] 話者B: Gメールの方にも、えっと、問い合わせのこのメールが行くようになっていて、すでにお手続きしてる方ははきして大丈夫です、みたいなメールがあって。
[07:54] 話者A: ああ、素晴らしいですね。
[07:56] 話者A: 素晴らしいですね。
[07:57] 話者B: てボタンで、一応こっちからも申し込みはできるようになるっていう。
[08:02] 話者B: この逃がさねえぞ感をめっちゃ強めてみました。
[08:07] 話者B: うん。
[08:07] 話者B: で、えっと、来てるメールアドレスについても。
[08:12] 話者B: えっと、このいふ塾からになってて。
[08:15] 話者B: で、これに返信するといふ塾@gmail.comにメールが届くようになってて。
[08:22] 話者B: で、えっと。
[08:24] 話者B: なので、えっと、またいふ塾からそれで返信をしたら違和感ないメールアドレスで、っていうのもそれも維持されるはずです。
[08:32] 話者A: うん、うん、うん。
[08:35] 話者A: めっちゃいいじゃないですか。
[08:36] 話者A: なんか完成度が一気に。
[08:38] 話者B: はい。
[08:38] 話者B: あ、で。
[08:41] 話者B: このいろんなイザコザがあるから世の中の人、あの、既存のシステム使うんだって思いました。
[08:49] 話者A: はい、はい、はい。
[08:50] 話者A: そうね。
[08:50] 話者A: この辺が、やっぱ既存のシステムだったら一旦は整うから。
[08:55] 話者A: 決済回り。
[08:56] 話者B: ところどころ、あの。
[08:57] 話者A: うん。
[08:58] 話者B: Googleフォームとかだとリダイレクトできないとか、Gメールだと送る数に制限が出る、とか。
[09:07] 話者B: そういう仕様上の制限が結構あって。
[09:11] 話者A: うん。
[09:12] 話者B: それらでつながりが全部断たれるっていうことも分かったんで。
[09:16] 話者A: なるほど。
[09:17] 話者B: 今回でもミソはその、GメールとGoogleフォームを使ってるのにそのつながりが断たれてないっていう。
[09:25] 話者A: うん、うん、うん。
[09:26] 話者A: 断たれてないようにする事ができた。
[09:28] 話者B: 断たれてない風。
[09:30] 話者B: ま、実際は、あの、埋め込んで、で擬似的にやってる部分はあるんですけどね。
[09:35] 話者A: うん、うん、うん。
[09:36] 話者B: で、一応さらにその。
[09:39] 話者B: 多分。
[09:42] 話者B: ここから決済の処理をすると、今度また、えっと、サンクスページが出て、そこの中にFacebookの案内があって、とかだったかな？
[09:51] 話者A: うん。
[09:52] 話者B: 感じになってますね。
[09:53] 話者B: 結構、まだ、だいぶでも決済のところまではスムーズに多分行ったんじゃないかなと思いますね。
[10:01] 話者A: うん、うん。
[10:02] 話者A: いや、すごい。
[10:04] 話者A: いやー。
[10:04] 話者A: あとこの、ね、申し込みして決済した後の、このオンボーディングで、ね、このトライアルを、まずここを試しましょうみたいなとか、あと使い方。
[10:14] 話者A: マニュアルとか、なんだろう。
[10:15] 話者B: うん。
[10:15] 話者A: ステップバイステップで。
[10:17] 話者A: 多分。
[10:18] 話者A: あのページからどこに何をしたらいいか、なんかワークフロー。
[10:23] 話者A: はここだよとか、まずアシュラここだよとか、ね。
[10:26] 話者B: あ、で、なんか多分それを、えっと。
[10:29] 話者B: 一時的に作ってたヘボ、ヘボ、ヘボメルマガが実はあったんすよ。
[10:35] 話者A: はい、はい、はい、はい。
[10:37] 話者B: 多分ひろくん多分最初に登録してるから。
[10:41] 話者B: なんか、あの、ヘボメルマガ行ってません？
[10:46] 話者A: 最近メールをチェックしてなかったんですよね。
[10:52] 話者B: どこだろう？
[10:53] 話者B: なんかね。
[10:55] 話者B: ソーシャルとかかな？
[10:56] 話者B: 僕で言うと。
[10:58] 話者A: いやー、さすがにそうですね。
[11:02] 話者A: 気づかなかったな。
[11:05] 話者A: なんか、なんでずっと高崎アカウントのアイコンから送られてきてんだろうなって僕ずっと不思議にはなってたんですよ。
[11:10] 話者B: あ、メールが。
[11:11] 話者A: あ、本当だ。
[11:11] 話者A: コミュニティの案内が来てる。
[11:13] 話者A: コミュニティの案内と。
[11:16] 話者B: コミュニティの案内は多分あれなんすよね。
[11:19] 話者B: えっと。
[11:21] 話者B: なんか。
[11:24] 話者B: えっと、メルマガじゃなくて人力で送ったやつな気がします。
[11:29] 話者B: Facebookのボタンみたいなのあるんですよね。
[11:34] 話者A: じゃないかな。
[11:36] 話者A: あの。
[11:39] 話者A: アシュラの決済。
[11:42] 話者A: なんだ。
[11:44] 話者A: 決済30日。
[11:45] 話者B: はい。
[11:46] 話者A: 本登録ありがとうございます。
[11:47] 話者B: ああ、はい。
[11:48] 話者B: そういうの。
[11:50] 話者A: 公式Facebookグループの案内。
[11:52] 話者A: アシュラ決済まだお手続きが完了していませんっての。
[11:58] 話者B: うん、多分それはなんかあれなんすよ。
[12:00] 話者B: えっと、またスプレッドシートから、えっと、ポチポチでメールが送れるようにもしてあっ。
[12:07] 話者A: うん、うん、うん。
[12:08] 話者B: あの、こっちで。
[12:15] 話者B: えっと、いふ塾管理っていうところで。
[12:18] 話者B: まあ、なんか。
[12:20] 話者B: えっと。
[12:23] 話者B: 決済リンクを送信とか。
[12:28] 話者B: で、決済リンク送信で、えっと、今はもうFacebookのリンクは確か、えっと、決済した時点でのメールに統合されましたって感じですね。
[12:44] 話者A: うん、うん、うん。
[12:44] 話者B: はい。
[12:49] 話者B: わけわか、もうでもわけわからんっていう。
[12:53] 話者A: だからあれですね。
[12:54] 話者A: 既存のサービス使われる方が多いんですね、やっぱりね。
[12:56] 話者B: いや、多分繋が、全部。
[12:59] 話者B: さすが、これで繋がったんじゃないかな、っていう感じですね。
[13:03] 話者A: うん、うん。
[13:04] 話者A: じゃあもうとりあえず決済、申し込み決済の入り口はOKで、あとはその。
[13:09] 話者A: えっと、実際活用してもらうってところの、ま、それこそ、えっと、ワークフロービルダー。
[13:14] 話者A: 使い方。
[13:16] 話者A: 講座とか、アシュラくん火曜日の使い方講座みたいなオンライン講座を。
[13:20] 話者A: ね。
[13:21] 話者B: 確かに、そっか。
[13:22] 話者B: そこの。
[13:23] 話者B: 結局しかも、あの、コーデックスアップサーバーそのままあんま使えないんじゃないの、問題ありますよね。
[13:33] 話者A: うん、うん。
[13:33] 話者A: で、ほとんどの人が使えないんじゃないですか。
[13:35] 話者A: というより。
[13:36] 話者B: うん。
[13:37] 話者B: これ。
[13:39] 話者B: あ、で、これ。
[13:40] 話者B: あ、そうね、一応ここでFacebook。
[13:43] 話者B: 一応今この決済すると、こちらのサンクスページには飛ぶようになってて。
[13:49] 話者A: うん、うん、うん。
[13:50] 話者B: ここで一応Facebookの参加なんかはできます。
[13:53] 話者A: うん、うん、うん。
[13:54] 話者A: またなんか数名来てましたもんね、何人かね。
[13:57] 話者B: ですね。
[13:58] 話者B: あと、で、多分そう、最初多分ここ参加ボタンなかったんすけど、最近足されたんで、最近参加した人はここからもう参加ができるようになってます。
[14:09] 話者A: うん、うん、うん。
[14:09] 話者B: で、多分メール箱にはどうなってんだ？
[14:13] 話者B: メールボックス、よいしょ。
[14:16] 話者B: で、これで。
[14:18] 話者B: これはあれか。
