[00:00:05] の、お疲れ様です。
[00:00:07] ます。
[00:00:08] まだです。
[00:00:08] お、今日はなんか眼鏡が違いますね。
[00:00:13] そう、ひどくてコンタクトできなくなってます。
[00:00:17] ああ、なるほど、そういうことなんだ。
[00:00:23] なんか花粉すごいいい飛んでるって、みんな言ってますね。
[00:00:31] 凄まじいですね。
[00:00:35] 毎年ひどくなってますね。
[00:00:38] へえ。
[00:00:40] うん。
[00:00:41] 僕はこの世の中に花粉症って存在しないと思ってるんで。
[00:00:48] そうでありたかったんですがそうでありたかったんですが。
[00:00:54] 凄まじいです。
[00:00:56] なんでみんなが痒いとか嘘言ってんだろうみたいな。
[00:01:03] 痒いわけないよなみたいな。
[00:01:08] 自覚したのがね、ここ数年なんですよ。
[00:01:11] ああ、そうなんすね。
[00:01:13] それまではあの症状あってもうん。
[00:01:17] 放置してきてうん。
[00:01:20] 何十年も鼻血流しながら生きてきたんですけど。
[00:01:24] すご、あ、じゃ、ずっと、ずっと症状はあったんだ。
[00:01:29] ずっと、だ、だけどみんな鼻血出ると思ったんですよ。
[00:01:33] 毎日。
[00:01:33] うん、そういう風にみんな生きてんだと思ってばかり思ってたらはい。
[00:01:39] あのどうも違うってことに気づいて。
[00:01:42] 独自だと。
[00:01:42] あんまり触れ ないくらい腫れ上がって。
[00:01:47] そう、それで数年前に病院に行ったら、これは花粉症ですよって言われて。
[00:01:52] ああ、なるほど。
[00:01:53] うん。
[00:01:54] 目も痒いもんだと思ってたんですけど、うん。
[00:02:00] 全然気づかなかったんですよね。
[00:02:07] どんぐらいになるとカウンショなんすかね。
[00:02:10] まあ、なんか、まあ、でも、明らかか。
[00:02:14] あの生きるのに支障が出るぐらい。
[00:02:18] なるほど。
[00:02:20] ええ。
[00:02:23] うん。あの、目をか、あの洗い出して。
[00:02:29] うん。
[00:02:29] タワで洗いたいぐらいとか。
[00:02:32] うわ。
[00:02:33] うん。
[00:02:36] あの肋骨折れるぐらいくしゃみが続くとか。
[00:02:39] うん、なるほど。
[00:02:42] すごいな。
[00:02:43] そんな風になるの。
[00:02:45] そう。
[00:02:49] じゃあ今日、番がまだ来ないんですね。
[00:02:53] あ、そっかそっか。
[00:02:55] じゃあ今日は、でも、始めますかね。
[00:02:58] じゃあ訪問看護でお子さんが花粉症だった場合の対応の仕方でしたっけ。
[00:03:07] あの看護にメンバーが追加になりまして、今画面オンになっている奥山春名さんです。
[00:03:12] はいはい。
[00:03:14] あ、よろしくお願いします。
[00:03:16] 高崎と言います。
[00:03:17] いつもお願いします。
[00:03:19] よろしくお願いします。
[00:03:20] 山です。
[00:03:21] 毎月こんな感じで勉強会などをやっております。
[00:03:27] 楽しみにしてます。
[00:03:29] えっとそうしたら、じゃあどうしよう。
[00:03:33] ゆるゆるうん。
[00:03:35] ゆるゆる始めます。
[00:03:38] はい。
[00:03:40] えと、佐藤さん今日はいらっしゃらなくて、駒場さんは後でクールは来る。
[00:03:44] あ、そうですね。
[00:03:45] 小場は入れませんの話は聞けないんで。
[00:03:48] すいません、移動で少し遅れますでして。
[00:03:50] あ、了解です。
[00:03:52] はい。
[00:03:53] じゃ、ちょっと始めていきます。
[00:03:56] はい、お願いいたします。
[00:03:59] よいしょ。
[00:04:03] ではですね。
[00:04:05] あ、違う、違う、違った。
[00:04:07] 1ページ目じゃねえ、これ。
[00:04:09] はい。
[00:04:09] えっと本日は、えっとリクエストでもちょっといただいてたので自己肯定感のお話というところですね。
[00:04:19] ま、ちょっとえっと自己肯定感をどうして低いのとか、えっと自己肯定感どうやって上げていくのとか声かけとか、そういったところで結構その今までやってきたABC分析であったりとかペアトレであったりとかカウンセリングであったりとか。
[00:04:45] そういった時に出てきたようなワードとか、えっと関わり方とか、そういうのもチラチラチラっと出てくるので、えっとちょっとそういうところの今までの復習も今日はちょっと
