[00:00:00] [笑い声]
[00:03:40] [自動音声] 自動録音を開始されました。
[00:06:01] 話者A: 僕ね、全てのね、パソコンの喋るやつをね、自動録音になってて、それがまた。
[00:15:30] 話者A: でもそれ録音しといて、後でこのビジネスプランどうブラッシュアップしてくとか、どう作ってくとかってやったら、めっちゃ勝手にやってくれるよ。
[00:25:01] 伊東: 議事録みたいな？
[00:26:01] 話者A: そうそうそう。
[00:28:23] 話者A: これがね、本当に便利で。
[00:30:80] 話者A: で、僕はその自動接続までをやってるから。
[00:34:25] 伊東: だから自動で。
[00:35:63] 話者A: そう。
[00:36:61] 伊東: 何もやんくても始まって。
[00:38:13] 話者A: で、勝手に、あの、なんならいろんななんか作ったものとかのを修正とかは、ミーティングが終わった時点で何を修正するかを解析して、何を修正するかをプロトコル勝手に投げるまでなんで。
[00:57:43] 伊東: すごい。本当に自分が手動かすだけ。
[01:01:04] 話者A: 自分なんかほぼ手動かさないで。
[01:04:88] 司会者: お世話になります。足音プログラム事務局お務めてます。
[01:10:48] 髙橋: スーパーパートナーの髙橋と申します。
[01:17:09] 伊東: よろしくお願いします。
[01:18:02] 司会者: こんにちは。お疲れ様です。
[01:19:64] 伊東: お疲れ様です。
[01:20:41] 司会者: よろしくお願いします。
[01:21:40] 伊東: よろしくお願いします。
[01:22:20] 司会者: お疲れ様です。
[01:23:09] 司会者: 髙崎さんもお疲れ様です。
[01:24:41] 伊東: よろしくお願いします。
[01:26:65] 司会者: お願いします。
[01:27:17] 髙橋: お願いします。お疲れ様です。
[01:28:77] 司会者: はい。では、本日は伊東さんの面談というところで、お願いできればと思ってます。
[01:34:39] 伊東: よろしくお願いします。
[01:35:54] 司会者: で、えっとですね、設定とか仕切っちゃいますか？
[01:39:15] 伊東: あ、そうですね。ちょっと一応。
[01:44:31] 伊東: 先に画面共有だけ、画面共有だけ設定しちゃった方がいいよね。
[01:57:07] 伊東: これで。
[02:00:39] 伊東: 今って、割といい感じですか？
[02:04:06] 司会者: はい。
[02:05:07] 司会者: あ、そうですね。全画面で、あの、プレゼンテーションの形で見えてます。
[02:08:79] 伊東: わかりました。じゃあこれでいけると思います。すいません、失礼します。
[02:12:44] 司会者: はい、わかりました。ありがとうございます。
[02:15:91] 司会者: では、えっと、伊東さんの面談を始めさせていただければというふうに思いますが、えっと、本日はですね、えっと、エントリーフォームをいただいて、で、その中から内容拝見しまして、ぜひですね、面談をさせていただきたいという方を対象に、ちょっとお時間を30分ほどいただいて、えっと、応募いただいた伊東さんのそのアイデアの内容だったりとか、背景とかを深く理解するような、そんなお時間として考えております。
[02:44:59] 伊東: はい。
[02:45:18] 司会者: で、えっと、進め方としては冒頭5分ほどですね、プレゼンテーションいただいて、で、あと25分くらい僕の方から質問をさせていただくような、そんな流れになりますので、どうぞよろしくお願いいたします。
[02:55:92] 伊東: よろしくお願いします。
[02:57:97] 司会者: はい。
[02:58:91] 司会者: では、えっと、こちらの内容録画させていただきますけれども、問題ございませんでしょうか？
[03:05:43] 伊東: 大丈夫です。
[03:07:33] 司会者: はい、ありがとうございます。
[03:09:00] [自動音声] Recording in progress.
[03:11:39] 司会者: では、えっと、早速ではありますけれども、プレゼンテーションの方よろしくお願いいたします。
[03:21:40] 伊東: はい、よろしくお願いします。
[03:24:26] 伊東: まず、ARロボットホビー、ま、仮のタイトルなんですけれども、私のプロジェクトの内容についてざっくり説明していきたいと思います。内容としては大きく4つで、プロジェクトの概要と具体的なゲームプレイの流れとプログラム期間中の開発計画、そして期間後の将来の展望まで含めて発表させていただきたいと思います。
[03:49:55] 伊東: ではまず。
[04:01:45] 伊東: はい。じゃまずプロジェクトの概要、そしてこれを考えついたきっかけについてお話したいと思います。
[04:08:70] 伊東: まずこのプロジェクトでは、ARによる地形認識とロボットゲームを掛け合わせて、目の前の物体や環境をステージとして認識してロボットバトルができるっていうゲームを開発します。
[04:21:05] 伊東: そしてそのきっかけは、小さい頃に見たホビーアニメの経験で、自分のホビーを実際に動かして目の前で戦わせるという世界観に強く憧れたことが元になっています。
[04:33:57] 伊東: そして早速ですが、具体的なゲームプレイの流れについて、何枚か画像を制作してきてたので、それをもとにお話します。
[04:42:70] 伊東: まず最初に目の前の地形を読み込みます。スマホのカメラを通してARで認識することで、目の前の空間が戦場になります。
[04:53:57] 伊東: そして認識が終わったら自動で敵が出現し、そこに自分のロボットを配置していきます。こうすることで、目の前にロボットがいるような臨場感をここで感じられたらと思います。
[05:07:46] 伊東: そしてここが、あの。
