[00:25] 接続 し まし た。
[01:31] これはまだ先生は喋れないと
[01:36] ん
[01:37] なんかめちゃファミレスっぽくないすか？あれ？
[01:41] サイゼ違うわ
[01:46] なんかすごい電波があると思いますね。
[01:50] あれあれ
[01:51] ああ
[01:53] どこですかそれ？
[01:56] あのあれ、リッシュ
[01:59] あ、寿司屋でございます。
[02:01] あれ？
[02:03] あ、あ
[02:05] あ、聞こえてますよ。
[02:06] あ、でもあれだ。こっちにした方がいいんだ。
[02:18] どこにいらっしゃるんですかそれ？
[02:20] あ、リッシュ、リッシュ。
[02:23] リッシュってどこでしたっけ？
[02:24] ほら、あの
[02:26] 駅前の地下の
[02:28] ああ、はいはいはいはい、ああ、なるほど。
[02:29] うん。
[02:30] あそこすね。
[02:34] あれじゃないですか？
[02:35] ナルテックさんも
[02:37] 確か、なんちゃらスポンサーじゃない、スポンサーみたいなのやってない？
[02:42] 社長さんです。
[02:43] 社長さんやってるよ。やってますよ。
[02:45] はい。
[02:46] 確かそう。
[02:51] はい、そんな感じで
[02:54] はい。
[02:56] えっ、ま、今僕が、えっと、わかる段階で
[03:00] 一応話は
[03:02] えー、していたってとこです。
[03:03] あ、ありがとう。そう。
[03:05] で、ここの今、ホンダさん書いてくださってるところは僕が話したことだと思って頂ければ。
[03:09] はーい。
[03:13] うん。
[03:15] あ、でももう、あの、そんな感じです。
[03:20] ま、僕からも改めて言うと、ま、このなんか2週間ぐらいで
[03:28] えっと、GPTズ研究会の方ではなんか、えっと
[03:33] 講座をやっていきましょうって話になって、ま、その、えっと
[03:38] 一応、なんか、エンジニアじゃなくても、そのAI開発ができるようなコミュニティっていうことで
[03:47] で、名前は、えっと、顔とか手とか増やしていっぱい対応するようなやつ作るぞっていう意味合いから
[03:55] アシュラっていう名前になってます。
[03:58] はい。
[04:02] で、一応
[04:03] いつか改名する可能性ありと。
[04:04] 改名の余地はあります。はい。
[04:09] で、でも、ま、そこから、えっと
[04:13] ま、一応でもとりあえず、名前とかっていうよりは、もうテンポよくもう
[04:18] 人集まってるぞっていうところで、講座やりますって言ってくこと自体が大事かなと思ってるんで、もう
[04:24] どんどん走らせスタートでいっちゃいますと。
[04:28] で、えっと、一応毎月、水、毎週、あ、毎週水曜日で、えっと
[04:35] 1、3週で、1週目が3時からと、2週、3週目が、えっと
[04:42] 8時からっていうので、ちょっと時間をばらけさせて、いろんな
[04:46] 年齢層のとか、いろんな職種のとかが
