[00:04] ふー
[00:49] （聞き取り不明）
[01:38] クロードコードでスライド自動生成。
[01:42] AIならキーワードだけのスライドが1発で完成。
[01:48] すっきり。
[01:50] 結論、理由、具体例の順で指示するだけ。
[01:55] 1発で完璧。
[01:58] 1枚に1メッセージ。
[02:02] AIならこのルールもばっちり。
[02:06] 視線集中。
[02:09] あとはキーワードごとに間を取るだけ。
[02:12] 自然に話せる。
[02:15] 信頼感抜群。
[02:18] AI活用を学びたいなら、AIに無料相談。
[02:23] 無料相談。
[02:25] クロードコードでプレゼン始めよう。
[02:29] のスライドが1発で完成。
[02:33] すっきり。
[02:35] 結論、理由、具体例の順で指示するだけ。
[02:40] 1発で完璧。
[02:43] 1枚に1メッセージ。
[02:46] AIならこのルールもばっちり。
[02:50] 視線集中。
[02:53] あとはキーワードごとに間を取るだけ。
[02:56] 自然に話せる。
[02:59] 信頼感抜群。
[03:02] AI活用を学びたいなら、AIに無料相談。
[03:07] 無料相談。
[03:09] クロードコードでプレゼン始めよう。
[03:13] クロードコードです。
