[00:01:45] あ、おはようございます。
[00:06:22] あれ？
[00:06:33] あ、聞こえた。
[00:08:15] お願いします。
[00:10:53] あ
[00:11:08] お願いします。
[00:12:08] お願いします。
[00:13:30] お願いします。
[00:14:14] よろしくお願いいたします。
[00:15:37] お願いします。
[00:19:62] 今日、録画しても大丈夫ですか？
[00:22:15] もちろん。
[00:22:96] あ、ありがとうございます。
[00:25:52] いくらでも面白動画に加工していただいても大丈夫です。
[00:29:20] 面白動画に加工して
[00:30:45] お願いします。
[00:34:60] お願いします。
[00:35:86] Recording in progress.
[00:43:21] はい、大丈夫です。
[00:44:60] はい。
[00:45:64] どうもありがとうございます。
[00:46:75] 本日はよろしくお願いいたします。
[00:47:97] よろしくお願いします。
[00:48:38] こちらこそお願いします。
[00:49:57] すいません、少しまだ要件がかなり甘いので、その辺りから一緒にやっていただけると聞きました。
[00:54:69] なんかその、多分
[00:57:47] 最初からこのまとめる段階からちょっとあの、僕も入らせていただいた方が、あの、データとかを恐らくこうやってまとめていこうみたいなの考えやすいかなと思いました。
[01:07:37] あ、そうですね。
[01:08:12] はい、そうです。
[01:08:92] 多分、あの、さっきに、
[01:11:39] むしろ逆にまとめられすぎちゃうと、ちょっと僕が把握しにくくもなるかなと思ったので。
[01:17:15] よろしく。
[01:17:41] わかりました。
[01:18:25] します。
[01:19:48] はい。
[01:20:17] ありがとうございます。
[01:21:46] じゃあどうしようかな。
[01:23:36] なんか、僕は僕でちょっと一応、えっと、いただいた写真で、
[01:28:44] あの、ちょっと、
[01:29:41] こんなこと、
[01:30:52] こういうことかな、みたいな感じで勝手にやってみたんですけれども。
[01:34:64] はい。
[01:34:87] ま、でも一応それで、
[01:37:16] 結構その、
[01:38:43] 元の、なんだろう、筑波大学かなんかのシステムのように、関節を取ってマーカーつけてみたいなことは結構できそうだったので、
[01:48:67] あとはまあ、で、そういうところからそのマーカーとの距離とか角度とか、そういうところで数値的に何かを出して、えっと、何かしらのフィードバックを出す。
[01:59:43] そういうようなことはできそうととりあえず思ってます。
[02:03:47] あ、わかりました。
[02:04:78] これ、そまさん、もしよければ今どういうことをビフォーアフターの比較でやってるかみたいなところをもう一度ちょっとお話をしてしてみてもいいかなと思うんですけど。
[02:15:35] はい、うん。
[02:16:16] なんか具体的なあの、会員サイトから表示していただいて。
[02:20:41] なんとか。
[02:21:39] 話をしていただけると良いかなと思います。
[02:29:21] なんとなくで方向性はこんな感じで合ってますか？
[02:33:68] 方向性はあの、関節のそのポイントをこうさえていくっていうよりは、恐らくもうちょっとあの、Vですかね。
[02:42:09] なんかこう、
[02:44:48] そのなんか、なんかの結果よくない状況を凝ってるVをどう見るかみたいなところから、
[02:49:84] うん、うん、うん、うん、うん。
[02:51:24] あの、逆算した時に、例えばこう前ももが太くなってるんだったら、例えばこう後ろのこう足首が少し偏ってるよね。
[03:00:23] 偏ってると、あの、こう連鎖をしてくような感じだなと思ってるので、そこがこうなんか、
[03:06:73] どこが貼れてたらちょっとその繋がってる部分は動きにくくなるよねみたいなことですね、多分。
[03:13:30] あ、そうです。
[03:13:84] で、そこの根本原因までたどり着くようなところのこうなんか、分析ができたらいいなというか。
[03:20:25] ざっくり言うと思ってました。
[03:21:26] わかりました。
[03:22:98] なんかでもそれは恐らく結構そういうパターンがいくつかあると思って、パターン化が結構できるかなと思ってるので、それをたくさん入れれば入れるほど、
[03:34:91] できるかなと思ってます。
[03:37:37] はい、はい。
[03:38:62] うん。
[03:39:46] まさしくそこのパターンの整理を事前にしとこうと思ったんですけど、そこがちょっとまだやってないです。
[03:43:97] なんかそれって多分あれだと思いますよ。
[03:47:67] あの、やりながらやってった方がいい作業だと思います。
[03:52:62] で、それが終わる時にこのこれも終わりみたいな感じなのかなって感じです。
[03:58:36] 多分徐々に徐々にこれはこうかな、ああかなって探りながらの方がねいいかもしれないですね。
[04:06:58] はい、はい。
[04:08:92] 画面出てます。
[04:09:68] あ、はい、出てます。
[04:10:48] あ、出てます。
[04:11:29] あ、はい。
[04:11:82] これがうちの会員サイトなんですけど。
[04:14:46] 映してもらっていいですかね？
[04:15:87] めっちゃいい。
[04:17:35] 多分。
[04:17:66] 下が切れちゃってますね。
[04:18:78] ちょっと僕の。
[04:20:47] 僕もそうですね。
[04:21:35] 下が。
[04:21:94] 今、今真っ白ですね。
[04:23:71] 今真っ白です。
[04:24:45] あのね、白がね。
[04:25:29] 半分しか見なかったです。
[04:26:88] めちゃくちゃ重いんですよね。
[04:29:43] はい。
[04:29:84] 立ち上がってますもんね。
[04:31:79] うん、なかなか出てこないです。
