[00:20:10] お疲れ様でした。
[00:21:00] お願いします。
[00:23:44] ね、登場、君は学校には今行ってるのかな？
[00:28:14] あ、え、じゃ、あ、学校ですかいま、大学、大学の大学、大学性なんですけど、今は夏休み中です。
[00:33:48] うん。
[00:34:25] はい、あ、今現在夏休み中で。
[00:35:59] はい。
[00:36:99] あ、そうか、友達とかは？
[00:37:99] 友達とかと遊んだりしない？
[00:38:88] 友達ですかわ、ああ、そうですね。あの、悲しいぐらい何もないですね。
[00:42:73] ああ、そうなんだ。やっぱしんどいね。
[00:44:81] はい。
[00:45:94] はい、しんどいですね。ちょっと腐りますね。
[00:47:19] うん。
[00:49:10] ああ、やばい。
[00:51:75] じゃ、君みたいな子はRobloxでもやってようか。
[00:55:00] はい、その通りかもしれないです。
[00:56:56] うん。
[00:58:39] やっぱ現実がだめだからRobloxとかそういうゲームの世界を満たしていくしかないもんね。
[01:04:19] いや、ちょっとそうですね。
[01:05:85] クロードとかはかなり触らせてもらって、いろんな大人の方と、大人の方とは、まあ、色々させてはもらってるんですけど。
[01:12:47] うん。
[01:13:00] あの、その、ま、将来という面では、ま、比較的、ま、比較的良いかもしれませんね。
[01:17:84] あ、そう、そう、そう、そう。あ、こんにちは。
[01:20:12] あ、こんにちは。お願いします。
[01:22:98] お願いします。
[01:23:90] お願いします。
[01:24:99] お願いします。
[01:25:50] よろしくお願いします。
[01:26:48] お願いします。
[01:27:35] お願いします。
[01:31:73] こっちの声聞こえてるかな？
[01:33:14] はい。
[01:33:46] あ、オーケー。
[01:35:40] お願いします。
[01:37:31] じゃあ、簡単に自己紹介。
[01:38:52] 聞こえるよ。
[01:39:69] 聞こえる？
[01:40:50] 簡単にじゃあ自己紹介しようかね。
[01:43:53] はい。
[01:44:03] じゃ、僕は、えっと、えっと、高崎翔太って言います。よろしくお願いいたします。名前がげたばこ先生になってるけど。
[01:47:89] はい。
[01:51:68] はい。
[01:52:68] いや、あ、
[01:54:19] IBU塾っていうところで塾頭というのをやってます。高崎翔太です。よろしくお願いします。
[02:00:26] お願いします。
[02:00:99] お願いします。
[02:02:64] えーっと、じゃ、続いて、えー、今、ま、こう見えてよくおっさんくさいって言われますが、一応大学の2年生です。
[02:04:12] はい。
[02:08:18] うん。
[02:10:76] 先生と、えー、IBU塾を一緒にやってます。えー、山崎拓海、拓海と申します。よろしくお願いします。
[02:17:41] お願いします。
[02:17:91] お願いします。
[02:20:23] じゃ、えーっと、よければ自己紹介を、まあ、してもらってもいいかな？
[02:24:96] はい。
[02:26:38] 名前、学年、好きなこと。
[02:28:22] 名前、名前と、ま、今、何年生かと。うん。ま、なんか、ま、なんか趣味とかでもしあれば。
[02:28:55] あと、好きなこと。
[02:37:37] え、ちょっと聞こえてないから。
[02:38:87] もっと大きくできる？
[02:40:15] あれ？
[02:41:48] うん。
[02:41:64] 大きくする？
[02:43:18] あ、音？
[02:44:46] はい。
[02:44:83] 大きくしますね。
[02:46:27] あ、良いですね。
[02:47:20] 自己紹介して？
[02:48:98] 何を？
[02:49:33] 何と何を喋ってと、お、言われたの？
[02:52:00] えっと、な、名前と学年。
[02:54:99] うん、うん、うん、うん。
[02:57:51] あと、好きなこと。
[02:59:00] あ、好きなことか。うん。
[03:04:80] か、名前か。
[03:06:50] お名前は？
[03:07:37] 名前は三浦渚斗です。
[03:09:88] 渚斗？
[03:10:76] 小学校。
[03:11:13] 渚斗くん？
[03:12:00] はい。
[03:12:60] 渚斗、渚斗で大丈夫？
[03:14:30] はい。
[03:15:68] おー、はい。お願いします。
[03:18:28] で、小5。
[03:22:64] 小5。
[03:23:44] はいはいはいはい。
[03:26:45] で、えー、好きなことは、野球とか、野球、野球見ることとか、野球のゲーム。
[03:27:85] ああ、野球のゲームのこと。
[03:36:99] なるほど。お、いいじゃん。
[03:37:38] うん。
[03:38:43] 拓海も結構野球好きだよね。
[03:40:61] 野球はみます。
[03:41:40] あ、やれはしないんだけどね。
[03:42:91] うん。
[03:43:99] やりません。
[03:44:77] やりはしてない。
