[00:16] おはようございます。
[00:19] おはようございます。よろしくお願いします。
[00:28] おはようございます。よろしくお願いします。
[00:33] えっと、タブは揃ってるかな？あ、ちょうど柳川プリモ 全然、全然揃ってないです。
[00:40] 揃ってないな。揃ってない。
[00:41] ホスト、プリマ、柳川も来てるんです。
[00:46] あと、共有の許可もお願いします。
[00:50] はいっす。あ、ちょっとあれなんで、ホストをもう渡しちゃいますね。
[00:54] はい。
[01:17] 
[01:30] よいしょ。
[01:54] 割と揃いました。
[01:59] え？ちょっと待ってくださいね。
[02:03] 参加者プリマトス、大将、広川。
[02:13] 柳川、オッケー。
[02:16] オッケー。
[02:18] あと、古野さんがくれれば。
[02:20] 古野さんが来れば。
[02:20] そうだね。
[02:21] 古野さんがね。
[02:34] あ、古野さんも来ましたね。
[02:44] よし、じゃあ。
[02:47] 孝田先生よろしくお願いします。
[02:49] はい、じゃあよろしくお願いします。
[02:52] パチパチパチ
[02:53] お願いします。
[02:54] えっ、本日は、えっと、ラポール形成というところがテーマでございます。
[03:01] まあ、ラポールって
[03:04] いきなりいきなり横文字で何だっていうところなんですけれども、えっと、よくそういう支援場面とかで言われる、えっと、支援者とその支援対象者の信頼関係とか関係性のことを指します。
[03:18] それで、まあ、今あの、ちょうど4月になって年度も変わって、おそらくいろんな
[03:25] 新しいお子さんが来やすい時期でもあったりとか、まあ、もうちょっとあれかな。
[03:30] 療育場面は意外と5月明けぐらいにちょっと増えたりもしますけれども、そういったところで
[03:37] えっと、新しいお子さんや新しい保護者さんとかと出会う機会多くなるかなと思いますので、ま、そういう時に、なんとなくそういういい関係性が作れると、えっと、そもそも仕事やりやすいぞっていうところで、えっと、その今日はラポール形成のお話を進めていけたらと思います。よろしくお願いします。
[03:59] それではですね、で、そもそも本日は、えっと、今日はですね、ラポールってどんなもの？っていうところをちょっと考えていったりとか。
[04:07] あとはそういったところを、えっと、実際にワークを通して経験してもらったりとか、あとは、お子さんですとか保護者さんに、えっと
[04:17] こう、なんとなく覚えとくといいような声かけみたいところもありますので、その辺をさらっていけたらと思います。
[04:24] で、そもそもラポール、これですね、えっと
[04:29] なぜかフランス語で橋をかけるっていう意味なんですけれども。
[04:36] あの、ね、そういうので橋をかけるっていうところから信頼関係を表す言葉でして、えっと、お互いにラポールができて形成されてるっていう状態は、お互いに信頼し合える状態になってるっていうところです。
[04:52] で、こういったラポールっていうものがですね、どうしても、えっと
[04:56] 療育の場面では、あの、かなり重要になってきて
[05:04] やっぱ、子供とかっていうのも、なんか、好きな先生とか好きなおとなに言われたことは言うこと聞くんですけど、嫌いな大人とか嫌いな先生に言われると、言うこと聞かない。
[05:17] で、嫌いな状態ってどういう状態？ラポールが形成されてない状態。て感じになります。
[05:23] なんで、ラポールを作っていくといいことが起こる。
[05:28] で、例えばラポール置けないとどうなこと起こるの？っていうので、指示通らない、拒否。こんなところはあります。
[05:35] あとは、えっと、子供がなんか適当な、なんかそれっぽいことしか言わなくなったり、なんか、本当に困ってることとか本音を言わない。
[05:47] で、えっと
[05:50] まあ、当然しん、本音を言わないとかそういう感じになって、一方で多分家とかではめっちゃ言うっていうところで。
[05:59] あの先生、マジ最悪なんだよとかは、結構、えっと、言ったりはするかもしんない。
