はい、ありがとうございます。
[00:05:52] あ、そうか。もしかしたら予定、予定入ってなかったかな？
[00:06:06] あ、ミュートになってますかね。
[00:07:22] あ、すいません。
[00:13:00] おはようございます。聞こえます？
[00:14:02] あ、おはようございます。
[00:15:06] ああ、聞こえました。大丈夫です。
[00:17:15] あ、あれか。
[00:17:74] あ、ああ。
[00:25:31] 大丈夫、そうすね。
[00:26:08] あ、大丈夫そうですよ。
[00:28:13] あ、お願いします。
[00:29:43] お願いします。
[00:31:71] あ、たくみ君が
[00:34:54] 匠君まだ来てないか。
[00:36:17] ちょっと、なんか
[00:37:66] 最近彼頭が散らかってるんで多分
[00:41:96] ふふふふ。
[00:43:24] ふふふふ。
[00:43:94] ふふふふふふ。
[00:47:06] あ、そっか。もしかしたら予定、予定入ってなかったかな？
[00:49:85] みせとそう。
[00:52:13] たくみくんとはい
[00:53:54] てりゅよ。
[00:58:14] えっ、そっか、前回の議事録ってどこ行ったっけ？
[01:04:40] あしら君がね、あしら君いいんすよね。
[01:06:55] はい。
[01:07:84] あ、で、前回はまあ多分、えーっと、
[01:12:44] 何だっけ？
[01:14:15] あのー、あ、そっか。で、まだちょっと回数制限とかは入れれてなくて。
[01:18:78] ああ、はいはいはい。
[01:20:07] あとでも、そういうちょっと、えっと、制限つけてビルダーに制限つけましょうみたいなところを話したかなと思いますね。
[01:29:97] そうですよね。
[01:30:46] 今回の
[01:31:67] 議事録。
[01:33:96] ビルダーも開きますね。
[01:36:68] はい。
[01:38:00] あと一応議事録の
[01:40:48] そうだ、前載っけたやつも。
[01:42:07] はい。
[01:43:62] えっ、まあ、これ見てもあれかな。
[01:46:66] しょうがないすけど。
[01:48:40] まあ、でも、だいぶなんかいい感じに、こんな感じよさそうだねってのが見えてきて、あとこの辺か、回数とか
[01:55:20] 決済とか作れば、もうあとはもうモニター募集しながら5月から販売開始してもいいよねみたいな感じで
[02:02:51] ですよね。
[02:03:32] 名前もあしらに決まったし。
[02:05:76] ね。
[02:06:67] マスコットキャラのアシュラ君もできましたし。
[02:09:44] アシュラ君てきたし。
[02:11:00] うんうんうん。
[02:13:51] で、来月も何だろう、えーと、ADPっていうところとコラボで、え、クローコードの非エンジニア向けクローコードのえー、会をやる事になったんで、また、あの、数千名規模で集まってくる
[02:27:10] おお、なるほど。
[02:28:44] と思うんで。で、そこ、そこを多分やるのはもうむちゃくちゃ簡単な話をするんですけど、ま、結局う、なんだろう、自分でやっぱこのワークフローとかをよくわかんない人たちにこのサービス、モニターとか多分ささりそうだなと思ったんで、流れ的にはいい感じに来そうですね。うん。
[02:32:89] はい。
[02:44:97] あ、卓球君来た。
[02:46:58] お、よかった。
[02:51:30] よいしょ。
[02:56:06] おはようございます。
[02:57:51] おはようございます。
[02:59:04] あ、すいません。
[03:00:81] 遅れてしまいました。
[03:02:35] いや、すいません。
[03:05:13] 忙しい、忙しそうだな。
[03:06:58] いや、
[03:08:24] いやもうなんかあった、最近ダメですね、僕。なんかあったなと思ったら完全に抜けてましたね。
[03:12:47] 大変失礼いたしました。
[03:14:04] いや、僕が言った通りだったんですよ。
[03:15:38] あ、はいはいはいはい。
[03:17:66] 予測されてた。
[03:19:17] 対策通りっていうので。
[03:20:80] あーうん、いや、ちゃんと予定には入ってたんですが、ダメでしたね、すいません。
[03:25:01] 卓見君はね、最近ね、頭のなんかが散らかっているから。
[03:29:84] はい。
[03:30:46] 散らかってますね。いや、失礼いたしました。
[03:32:51] 大丈夫ですよ。
[03:33:48] うん。ああ、でもよかった。
[03:34:44] 織り込み済みなんで大丈夫です。
[03:37:37] 失礼いたしました。
[03:38:64] あの、本当に全部予測通りだった。
[03:41:96] うん。
[03:42:38] 失礼いたしました。
[03:43:86] すごい。
[03:44:59] 言った。
[03:46:39] うふふふふ。
[03:48:29] さすがすね、すいません。失礼いたしました。
[03:51:32] いや、大丈夫ですよ。はい、じゃあ。
[03:53:32] はい、お願いします。
[03:54:15] え、よろしくお願いします。
