[00:00] ああ、聞こえる？
[00:01] あ、聞こえます。
[00:02] お疲れ様です。
[00:03] ういっす。
[00:07] ちょっと背景消すか。
[00:08] え？
[00:09] 背景がなんか不思議なことになってる。
[00:11] ああ、はいはいはい。
[00:12] 背景？ああ、寺田さんがですか？
[00:14] はい。
[00:17] 多分
[00:23] よいしょ。
[00:23] こんな感じのシチュエーションだと今ちょっと失礼し。
[00:26] ああ、なるほどね。
[00:28] 社内で途中なんすね。
[00:30] あ、すいません。
[00:31] 邪魔しないで待っててもいいですか？
[00:33] あ、じゃ、あ、じゃ、あ、じゃあ、おいとましましょうか。
[00:35] はい。
[00:35] ああ、じゃあすいません。
[00:37] ああ、今日ありがとうございます。
[00:39] あ、はい、こちらこそ。
[00:42] え、えっと、まあ、ちょっと何か、あの、横向いてると近すぎるんで、あの、ちょっと前見て喋りますけど。
[00:49] はい。
[00:52] ですね、圧強めだと言われるので。
[00:53] ああ、なるほどね。
[00:56] あの、あれですね。今ちょっと、私の方から、本当はPCとか開いて説明したいんですけど。
[01:03] えっと、LINEの、え、LINEヤフーさんとの連携をして、LINEの公式アカウント、ミニアプリの制作っていうのを、えっと、作るのを秋田を、まあ、あの、拠点にして行きたいっていうのが、LINEヤフーさんとのプロジェクトを進めていく中で、それをやれるいわゆるPM的な立ち位置と、実際にあの、使う人っていうのが必要だっていうのを今思ってます。
[01:31] そういうのに興味がまずあるかどうかと。
[01:35] 今後自分がどんなことやりたいかみたいなことの、多分それに合致しないといけないと思うんで。
[01:40] はい。
[01:40] 私がやりたいのは、あの、秋田っていうのを、まあ、今回機会もあって、LINEを引っ張ってくる。
[01:46] はい。
[01:47] LINEさんが秋田っていうのが、ある種の、えっと、LINEの新しい使い方みたいな、あそこってあくまでもインフラなんですよね、LINEって。
[01:56] はい。
[01:56] なんで、それを、えっと、どういう風に、えっと、利便性高く色んなものに活用していくかみたいなのを、秋田からどんどん発信していって、県外のそう言うものも秋田でどんどん作ってみたいな。
[02:09] はい。
[02:10] 1つのマーケットを作っていくみたいなのを、その今の、あの、高崎先生と一緒に作っていきたいなっていうのが今思ってることです。
[02:18] その時に高崎先生が一緒にやるなら、いい人いるよって言われて、ご紹介いただいたんですよ。
[02:23] そう。
[02:23] それで一番最初に指名したのがホンダさんです。
[02:27] はい。
