[00:00:07] あ、お帰りなさい。
[00:00:08] はい、ただいま。
[00:00:09] 行きます？
[00:00:10] あ、行けた行けた。
[00:00:13] きゃ、はは。
[00:00:18] よかったでーす。
[00:00:20] さあ、じゃあ本日も素敵な朝を始めてまいりましょうというところでよろしくお願いいたします。
[00:00:26] いや。
[00:00:27] はい。
[00:00:27] じゃあ改めて高崎さん自己紹介からお願いしましょう。
[00:00:30] あ、そうか。
[00:00:30] じゃあ僕さっきのストーリー喋りも、じゃあ全く聞こえてないんですね。
[00:00:36] あ、じゃあえっと。
[00:00:38] すいません僕の居場所つないでもらったんですけど多分、はい。
[00:00:41] あ、いい、いい、いい。
[00:00:42] じゃあなんか1人でずっと多分サイレントでやってました。ちょっと。
[00:00:52] すいません。
[00:00:56] じゃ、ええと。
[00:00:57] あ、じゃあ改めて挨拶から。挨拶から自己紹介ね。
[00:01:00] はい。やります。
[00:01:02] はい、えっと。企業家学べるIF熟の塾頭やっております高崎と申します。
[00:01:08] よろしくお願いしまーす。
[00:01:12] お願いしまーす。
[00:01:14] 改めて僕も多分聞こえてなかったかもしれない。
[00:01:19] はい、三方良しで競争コンサルタントの田中博幸です。
[00:01:23] え、ひろくんって呼んでください。
[00:01:26] はい、ということで今日はね、AIマニアック会ってことでね、え、こういった、え、マシントラブルなどもね、え、楽しみつつ、このクロードコードのちょっとお話をしたいなと思うんですけど、はい。
[00:01:37] もうクロードコードの実践を多分、え、バリバリと、え、僕たちはやってると思うんで、ま、その、なんか、ま、新機能がどうこうってのも大事なんですけど、ま、それ使って結局何して、どうやって、どうやってるんだみたいな、ほんとの本質的な、ビジネスの現場で使えてる話だったりとか、ま、最新のね、え、近況なんかを改めて確認したいなと思うんですけど、なんか最近あれ、ピッチが結構いっぱいあるっていう。
[00:02:07] そうですね、もう。
[00:02:08] うん。
[00:02:10] な、なんかとりあえずやっぱり目の前に、あ、ピッチあるとか、あ、あるよって言われると、あはーいって言って反射的に申し込みをしてしまうんですよ僕は。
[00:02:22] あの、そういうのに、なんか衝動、衝動的に目の前にパンって出される、あ、申し込まなくやってので申し込みを、あんま考えずにししまうんですけど。
[00:02:31] ほう。
[00:02:32] うん、うん、うん。
[00:02:33] それをしてた結果、なんか、なんかあれっていうのでなんかえっとね、3月の12日に、なんか締め切りが4つある。
[00:02:45] ぞってことに気づいて。
[00:02:48] やばい。
[00:02:50] やばい、やばい。
[00:02:51] 終わった、完全終わったんだけどと思って。
[00:02:55] うん、うん。
[00:02:56] あ、でももうそういうのとかも、あの、そうだ、クロードコードがあるじゃないって言うことで結構。
[00:03:10] なんか意外と、あれいつの間にかここまでできるようになってんのっていうのを思う時ってないすか？
[00:03:19] あ、ありますね。
[00:03:21] なんか、そこまでできるんだっていうね。
[00:03:23] そう。
[00:03:24] で、なんか僕結構あの最近か、改めて感心したのがクロードコードの、えっと。
[00:03:30] うん。
[00:03:33] ドキ、ワードとかドキュメントを作る、あ、クロードコードはVSコードで使うって質問が来てるかな。
[00:03:42] ま、あ、えっとクロードコードはVSコードとかターミナルとか、あとアンチグラビティとかっていうやつとかそういうのとかに開いて使います。
[00:03:50] うん、うん。
[00:03:53] そう、でもなんかな。
[00:03:55] え、そう。
[00:03:55] ワード、パワーポイントもかなり、Excelもそうですけど、もう実用度ありますよね。
[00:04:00] うーん。
[00:04:00] いや、なんか、あの、大体の補助金とかの書類って、あの、ワードとかExcelの、えっと書類が貼ってあって、ここのフォーマットダウンロードして、これに入力して出してくださいっていうパターンなんですよ。
[00:04:11] うん、うん、うん。
[00:04:14] うん、うん、うん。
[00:04:16] だから、え、もうでもこれ、まだ、なんとなくでも書類とかをちゃんと仕上げる時って、まあ、えっとAIとかと壁打ちとかして内容出させて、それを貼ってってやってたんですけど。
[00:04:27] うん、うん、うん。
[00:04:28] なんか、こう、コード、コーディングみたいにもう、それも直接編集してAIが出しといてよって、まあ、思うようになるじゃないですか。
[00:04:38] はい、はい、はい、はい、ありますね。
[00:04:41] だから、そうしてよって言ったらそうなりました。
[00:04:45] いやあ。
[00:04:47] ほんとそれがやばいすよね。
[00:04:48] で、あ、あ、いつの間にが書類、書類もそんな作れるようになってたの君って思ったんすよ、その時。
[00:04:55] うん、うん、うん、うん。
[00:04:58] だからちょっと実際にちょっとこうやったぞ、あっと、ぞって言うのをちょっとお見せしたくて。
[00:05:06] お、ぜひぜひ。
[00:05:09] な、だから僕もうあの、仕方ないから4つ補助金、補助金ピッチか、ピッチコンテストの書類で、なんかテーマも全部違うので出しちゃってて僕。
[00:05:19] うん、うん、うん。
[00:05:21] なのでそれなんかでも4つだから同時に書きましたよ、僕。
[00:05:34] あ、それ、それが、そんな荒技ができてしまうの、まさにこの、ね。
[00:05:40] で、ま、まず、えっと、僕あの、普段の、もう自分の、あ、もうあの、普段もう使ってるホルダーがこの、あ、今デスクトップ見えますかね？
[00:05:51] うん。
[00:05:52] はい、聞こえる見えます。
[00:05:53] はい。
[00:05:53] このえっとデスクトップにこのIF熟マネージャーっていうホルダーが1個あるんですよ。
[00:05:59] これ。
[00:06:00] うん、うん、うん、うん、うん。
[00:06:02] はい。
[00:06:03] で、まあ、こん中にですね、えっと僕の今すべての仕事が各ホルダー分けされて置いてあるんですね。
[00:06:15] うん、うん、うん。
[00:06:19] で例えばアプリを管理する、あ、アプリを作るホルダー、仕事を管理するホルダー、ホームページを管理するホルダー。
[00:06:30] えっと、自動化するワークフローを入れてるホルダー、えっと他事業のあれ、あの自分以外のなんか他の人のなんか色々やるホルダー、補助金とかピッチとか手続き系のホルダー、ゲームのホルダー。
[00:06:44] あとは色んなキャラクターたちていうところで全部格納してあって、それぞれが中開くと、例えばワークフローだと、えっとインスタのワークフローを、えっとスライドのワークフローを株式のワークフローを、えっと営業資料のワークフローを、えっと自己紹介とかを作るワークフローみたいなのがブワって全部あって、それぞれが、これ実行してってやると、例えばインスタを投稿したりとか、えっとスライドを作ったりとかってのをそれぞれ全部やるようになってたりとか、あとはウェブサイトとかも、これがIF塾のサイトだったり、これが最近やってるサービス系のIFビジネスのサイトだったりっていうのでサイトがそれぞれあって、全部これも、えっとデスクトップからこのフォルダーのこれをやって、えっとホームページ作ってとかって言うと、全部ホームページとかも一気に作ってくれるし、スライドも作ってくれるしっていうような条件になってますと。
[00:07:52] いや、ほんとに何だろう。
[00:07:53] 働き方改革じゃないんですけど、それどころじゃないことてますよね。
[00:07:58] で、今まで出来なかった魔法みたいなことね、ほんとに出来てくんだ。
[00:08:01] うん。
[00:08:01] で、例えば、えっと補助金をやる場合っていうのとかも、えっと今回、ま、じゃあ1、1個、1個どうやってやるかってのをちゃんと見せて、それを、そして4つ同時にやりまーすって話になるんですけど、ま、今回。
[00:08:18] はい。
[00:08:19] じゃ、こん、今回えっと、ま、僕秋田県に住んでまして、なんか秋田が、秋田、秋田市長に直接ピッチみたいな、なんかやるって言うのあったんで、うん。
