[00:00:08] イエス。
[00:00:09] えっと。
[00:00:17] まずに新しい先生の。
[00:00:22] え、ご紹介をしたい。
[00:00:26] と思います。
[00:00:31] え、富山洋子先生です。
[00:00:36] よろしくお願いいたします。
[00:00:47] よろしくお願いいたします。
[00:00:48] よろしくお願いします。
[00:00:52] どうぞ一言。
[00:00:58] えっと、もう始まることにも初めての経験になりますので、今までやってきたような、私の全く別物だと思いますけれども。
[00:01:08] 何卒よろしくお願いします。
[00:01:11] よろしくお願いします。
[00:01:18] はい、え、それでは、え、プリントの1番。
[00:01:25] え、令和8年度生育にあたりをご覧ください。
[00:01:41] えっと。
[00:01:44] 大事な思いを伺いますので、と思います。
[00:01:50] え、2000年の最高から26年目。
[00:01:55] そして秋田県による高等先修学校任から7年目を迎えます。
[00:02:00] 再編統合するというしました。
[00:02:04] 生徒を代弁するをいただき。
[00:02:08] 社会で務められる新しい学校を追求し。
[00:02:15] 2027年度の学校法人化を目指します。
[00:02:22] え、皆さんご存知のように、が現在は、え、株式会社として、え、運営している珍しい形なんですが。
[00:02:33] え、ま、生徒、保護者の安心感、え、それから私たちの。
[00:02:40] ま、生活の安定、え、学校の安定を考えて、え、学校法人を、え、目指して進めていきたいと思います。
[00:02:52] え、次です。
[00:02:53] 生徒の成長を作ることが教師の使命です。
[00:02:59] 生徒の成長を築きながら、私たち教師も生きがいを感じ。
[00:03:08] 自らの成長して生きる学校、職場でありたいと思います。
[00:03:15] 教育に責任を持ち、教員で力を合わせ。
[00:03:22] 魅力ある授業を展開し。
[00:03:27] 美しい完成で人に対し、さらに、え、信頼される学校を目指しましょう。
[00:03:35] え、ぜひ皆さん1人1人が、え、この秋田クラックで、ま、自己実現を、え、して。
[00:03:45] え、自分の。
[00:03:49] 力を発揮して、え、魅力を、え、発揮してっていただきたいなというふうに思っています。
[00:04:01] え、次の高速スローガンについては、え、昨年度までと同様になります。
[00:04:10] え、今年度の重点事項です。
[00:04:14] え、1番生徒全員の出席、進級、卒業。
[00:04:22] え、昨年度、ま、かなりも、え、生徒が、え、最後まで頑張って、進級卒業をいたしました。
[00:04:31] え、残念ながら数名、え、進級卒業できなかった生徒もいるんですが。
[00:04:37] え、今年度全員の進を願っております。
[00:04:44] え、2番、学びの充実と成長の発信。
[00:04:50] え、全コースでスローガンを確立しますので、え、さらに魅力がある面をして発信していきます。
[00:04:59] え、3番、進路決定100%と国公立大学複数名合格。
[00:05:06] え、昨年度先生方が頑張ってくださって、え、今までで最高の国公立6名。
[00:05:14] え、金野卒を含めると7名合格という素晴らしい結果を出すことができました。
[00:05:21] え、それを継承して、え、今年度もやっていきたいと思います。
[00:05:26] え、4番、心のケアの充実とボランティアの推進。
[00:05:32] え、そこに書いてある通りです。
