はい、承知いたしました。以下、文字起こしです。

[00:11] あ、おはようございます。
[00:14] こちらですね。
[00:15] 東ハウス来る駅前ですね。
[00:18] 駅前です。
[00:19] はい。
[00:21] あ、俺も、あの、私も、そんな言えたもんじゃないですけど、今に向かってます。
[00:26] 大変ですね。
[00:28] ちょっと朝は移動中がね。
[00:30] はいはい。
[00:31] 今あの、すいませんちょっと、あの、アジャストしてたんですけど、まず、まあ、あの、話した通り7月30日に、あの、秋田の部長たちいらっしゃるんで、LINEの。
[00:39] はい。
[00:40] えっ、そこで、えっと、今10社ぐらいベンダーの社長とか集めて、ベンダー候補の社長集めてるんですよ。
[00:46] はい。
[00:49] とこで
[00:51] のLINEアッってであるとか、ミニアップっていうのを展開していくかですね。
[00:57] うん。
[00:58] はい。
[01:02] あの、それで、やるっていうことなんですよね。
[01:05] はい。
[01:06] はい。
[01:07] そうそう。だから、まあ、そういう意味では、あの、非常に、えっと、今いいタイミングだし、いや、思ったよりみんな来てくれるんですよ。
[01:15] ああ、なるほど。いいですね。じゃ、結構割と興味は、興味を持ってくれてるというかね。
[01:22] めっちゃ興味持ってますね。
[01:24] うんうん。
[01:26] なんか、まあ、あの、俺が呼びたかった主要なとこも。
[01:31] なんかその辺の人たちに合わせてなんか、おっってなりそうなもんとかちょっと作って見せれるようになっとくといいですかね？
[01:40] いやあ、いい、いい、いい、いい。
[01:41] なん、あ。
[01:43] なんか
[01:45] あ、その相手の会社に合わせてって感じだと思うんで、どんな会社が来るんすか？
[01:50] 例えばさ、
[01:51] はい。
[01:53] あの、LINE公式はあの、あれ、えっと、
[01:57] 気づきかかっちゃうと思うんですけど、
[01:59] はい。
[02:00] LINE公式アカウントの
[02:03] はい。
[02:04] えっと、要は、あの、今回の秋田プロジェクトの
[02:08] うん。
[02:09] 公式アカウントで
[02:10] はい。
[02:11] 今回の、えっと、今後のヤブリとか、
[02:14] はい。
[02:15] えっと、
[02:17] とかはそこで全部やれるようにするみたいな。
[02:20] ああ、しかもそこにちょっと、あれ、なんか
[02:24] 機能入ってるな。めっちゃ便利じゃんっていうのそれを感じれるようにするって感じ。
[02:28] そうそうそうそうそうそう。
[02:30] なんか、じゃあ、ちょ、なんか
[02:34] それの、なんか登録、あの、なんだっけ、まあ、えっと、
[02:40] 登録、わかんないけど、えっと、参加しましたみたいな
[02:44] うん。
[02:45] のも含めてなんかその、なんだろう、あの
[02:47] えっと、
[02:49] とりあえず。
[02:51] 要はミニアプリみたいな感じで
[02:53] うん。
[02:53] 公式アカウントに、あの、そのアンケート答えると会員になってんのとか体験してほしいです。
[02:59] 会員になってる。
[03:00] うん。
[03:02] ああ。
[03:02] えっ、じゃあ
[03:05] えっ、アンケートに答える
[03:08] 会員になる。
[03:10] ははあ。
[03:12] うん。その辺の設計ちゃんと。
[03:15] あ。
[03:17] あれ。
[03:29] おや。
[03:33] 寺田さんも電波悪いの、もしかして。
[03:36] そうかも知れないですね。
[03:37] あ、そっか、じゃ、空港、はい。
[03:39] ああ、空港、空港なんすか？
[03:42] 空港に向かってるみたいなんだ。
[03:50] よいしょ。
[03:54] 僕も駅でございます。
[03:56] はい。
[03:57] ですね。はい。
[04:05] じゃあ。
[04:08] なんだろうな、その。
[04:14] えっ、その来る10社っていうのはあれですかね。アプリを作ってほしい10社ってことっすよねこれ。
[04:20] そうですね。多分はい。
[04:24] で、IT系の企業なのか。
[04:28] なんだろう、なんか。
[04:34] IT企業とかがいっぱい来るんだったら、お宅の会社が作るホームページよりすごいホームページ5秒で作ります、作れますよ、このツールだととかっていう煽り。
[04:44] なるほど。
[04:45] ね。
[04:46] 煽りますね。
[04:49] まあぶっちゃけ秋田のね、IT企業が作るもんぐらいだったら、もう僕のAI構築で全然瞬殺で作れちゃう。
[04:57] そういう
[04:58] うん。
[04:58] そういう煽りをいい感じに噛ませればなんかすげえおおってなる気がするんすよね。
[05:05] なるほど。
[05:07] うん。
[05:09] そう、そういうののをうまい言い方を寺田さんが考えてくれればいいかった。
[05:14] ああ、そうすね、はい。
[05:15] やればいいのはそういうことだと思うんすよね。
[05:20] 自分たちができてないようなことAIとかLINEアプリ使ってばばばってこんなんやってるんですよ。
[05:27] お宅も導入しませんかが一番わかりやすいっすもんね。
[05:30] うん。
[05:33] うん。
[05:37] 失礼しました。朝6時半からずっと打ち続けてやっていると充電が切れるということ。
[05:41] ああ、充電が切れたんですね。了解です。
[05:43] はい、失礼しました。
[05:44] あ、で。
[05:46] うん。
[05:47] ちょっと今あの、少し話してたんですけど、
[05:50] はい。
[05:51] えっと、
[05:54] 来るその企業さんたちっていうのは、なんか、
[05:58] うん。
[05:59] アプリを作ってほしい人たちみたいなイメージですか？
[06:03] いや、違います。どちらかというと拡散してくれたりとか作れる人たち。
[06:07] ああ、なるほど。そしたら、あ、じゃあ一緒に作ってきましょうみたいなムーブになった方がいいってことですか？
[06:15] うん。
[06:19] あ、で、そうしたら、
[06:20] そう、そ、あ、その。
[06:22] はい。
[06:23] えっ、じゃあこういうの作りませんか？っていうよりは、一緒にじゃあ秋田で作ってきましょうよみたいなムーブの方がいいってことですよね？
[06:32] そうそう。だしまあ、あの、一緒に広げていきましょうよなんだけど、
[06:37] なんか意外や意外、多分お客さんになる人も結構いるなと思ってて、
[06:40] だと思ってるんですよね。なんか。
[06:42] こんなの作れますか？も結構多いと思う。うん。
[06:46] なんか、そんなに、あの、うん。
[06:49] あんまりなんかそのLINEアプリとかをがんがん作っていけますよみたいなのするするできるような企業さんそんなにないかなと思ってて、
[06:58] そう、それも俺もね、そう。
[06:59] ってたんだけど。
[07:01] あ、意外と行けますか？
[07:03] 実はガチアプリ作ってる会社が1個あって、
[07:06] はいはいはいはい。
[07:09] シーズクラフトっていう会社。
[07:10] シーズクラフト。
[07:13] うん。元々はCGやってる会社なんだけど、
[07:16] へえ。
[07:17] 結構モバイルコンテンツ周り結構がんがん作ってるんだよね、おそらく。
[07:22] シーズクラフト。
[07:24] シーズクラフト橘さん。橘大輔。
[07:28] 俺前から知ってんだけど。
[07:29] へえ。
[07:31] あ、シーズン。
[07:34] あ、シーズはあれか。シーズなのか。
[07:39] なん、いだとおもいます。
[07:40] あの、あの、種、種だと思いました。
[07:43] はいはいはい。
[07:45] ああ、へえ。
[07:48] そうそう。
[07:49] 結構ここ意外といい会社。
[07:52] へえ。あ、Eden Zero。
[07:55] うん。
[07:58] Aが、あ、そう、こういうAがとかに
[08:04] ああ、エフェクト、なるほどね、やっぱり。ああ、そういうことな。へえ。
[08:09] でも、確かに。なんか。
[08:14] 案件が分かりやすいですよね。
[08:18] へえ。
[08:20] わかりました。ま、どうなんだろう。
[08:26] え、そうするとじゃあちょっとそういう。
