[00:00:10] お、お疲れ様です。
[00:00:13] お疲れ様です。
[00:00:14] お願いします。
[00:00:16] お願いします。
[00:00:20] よろしくお願いします。
[00:00:23] よろしくお願いします。
[00:00:24] よろしくお願いします。
[00:00:30] すいません。
[00:00:31] よいしょ。
[00:00:37] よろしくお願いします。
[00:00:39] よろしくお願いします。
[00:00:45] マイクの調子が悪いです。
[00:00:48] すいません。
[00:00:48] あ、了解です。
[00:00:56] はい、大丈夫だと思います。
[01:00:12] 大丈夫です。
[01:00:24] あ、大丈夫かな。
[01:00:26] はい、聞こえます。
[01:00:32] どうですか？
[01:00:33] 大丈夫そうですか？
[01:00:40] じゃあよろしくお願いします。
[01:00:45] ほら言ってますよ。
[01:00:50] ちょっと音が聞こえにくいかな？
[01:00:51] 部屋、退室させていただきます。
[01:00:56] あ、了解です。
[01:00:58] 大丈夫ですかね？
[01:01:01] どうだろう？
[01:01:02] まあ、東成瀬村だから電波が悪いんじゃないかな。
[01:01:09] よいしょ。
[01:01:18] あ、すいません。
[01:01:19] あ、はい、すいません。
[01:01:23] こちらで始めさせていただきます。
[01:01:30] ちょっと鈴木の方やってくれると思うので。
[01:01:34] 了解です。
[01:01:36] 前回授業内容共有から。
[01:01:38] はい。
[01:01:42] はい、前回はちょっと発表会の方ありがとうございました。
[01:01:47] はい。
[01:01:47] そうですね。
[01:01:51] が。
[01:01:51] うん。
[01:01:54] 良かっ良かった点悪かった点ということで、良かった点としては、まあ想定通りスケールの大きな建築物は各グループともに作っていたのかなって印象ではあります。
[01:02:07] そうですね。
[01:02:08] まあ、女子グループについては、発表についても結構主体的に行ってくれて、緊張しつつも、楽しそうな様子でやっている様子でした。
[01:02:18] そうですね。
[01:02:20] 特に最後の反の、えっと、建築が結構良かったような感じしましたね。
[01:02:27] はい。
[01:02:28] そうですね。
[01:02:30] なんかモダンおしゃれな。
[01:02:36] なんか
[01:02:42] そう、あや、てなんか。
[01:02:46] 結構えっと、ブロックを工夫し、置き方工夫して、ちょっと細部こだわった建築作るとかは結構1つ。ちょっと1つえっと先のステップというか。そんな感じかなと思った。
[01:03:11] あの、あれ作ってたグループってどんなグループですか？
[01:03:14] はい。
[01:03:15] あ、あの、最後の家作ってたグループはどんなグループですか？
[01:03:22] どんなグループ？
[01:03:25] え？
[01:03:27] 男子女子。
[01:03:28] あ、あの、結構高学年の一番この学年の中で高学年の5年生グループです。
